kag_master_name,kag_master_artist,kag_master_genre,kag_master_daneceability,kag_master_energy,kag_master_key,kag_master_loudness,kag_master_mode,kag_master_speechiness,kag_master_acousticness,kag_master_instrumentalness,kag_master_liveness,kag_master_valence,kag_master_tempo,kag_master_pop,kag_master_spotify_id,kag_master_release_date,kag_master_year
Leave Right Now,Will Young,pop,0.641,0.445,6,-8.674,1,0.0368,0.145,0.0,0.108,0.383,81.931,1,4mZsyuthp695XQWwb2g3qe,2003-12-01,2003
You're Beautiful,James Blunt,pop,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,1,0vg4WnUWvze6pBOJDTq99k,2005-08-08,2005
Bad Day,Daniel Powter,pop,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,1,0mUyMawtxj1CJ76kn9gIZK,2005-02-22,2005
Drop It Like It's Hot,Snoop Dogg,"hip hop, pop",0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,1,2NBQmPrOEEjA8VbeWOQGxO,2004-01-01,2004
True,Ryan Cabrera,pop,0.598,0.4,6,-10.054,1,0.0241,0.459,0.0,0.151,0.369,96.938,1,0jdeV5dSB3kUBRqe1xQJbh,2004-06-08,2004
Laffy Taffy,D4L,"hip hop, pop",0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,1,2ajhenDRiiAnCHHjsIOHhJ,2005-11-08,2005
Stickwitu,The Pussycat Dolls,"pop, R&B",0.548,0.554,9,-6.408,1,0.0587,0.283,0.0,0.0708,0.382,79.918,1,4NjR63Up0uMkQBlKvlZd1l,2005-01-01,2005
Goodbye My Lover,James Blunt,pop,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,1,6gxycjJNMgmAyfzUXBN80P,2005-08-08,2005
Dirty Little Secret,The All-American Rejects,"rock, pop",0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853,1,5lDriBxJd22IhOH9zTcFrV,2005-01-01,2005
Hey There Delilah,Plain White T's,pop,0.656,0.291,2,-10.572,1,0.0293,0.872,0.0,0.114,0.298,103.971,1,4RCWB3V8V0dignt99LZ8vH,2005-01-25,2005
Patience,Take That,pop,0.309,0.783,10,-4.154,1,0.0405,0.142,1.11e-06,0.118,0.372,175.788,1,4DxybsoSiMUW0JI2oM0SSN,2006-01-01,2006
My Love (feat. T.I.),Justin Timberlake,pop,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,1,4NeOWqHmlrGRuBvsLJC9rL,2006-09-13,2006
Makes Me Wonder,Maroon 5,pop,0.803,0.851,7,-2.429,1,0.0357,0.00485,0.000358,0.0577,0.881,113.996,1,1lHXlGlve5Zx8tXLhyjDwM,2007-01-01,2007
Face Down,The Red Jumpsuit Apparatus,pop,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956,1,4wzjNqjKAKDU82e8uMhzmr,2006-01-01,2006
1973,James Blunt,pop,0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.0789,0.768,123.007,1,1BV0m40U0M4t1SLIsDnwZl,2007-09-05,2007
The Great Escape,Boys Like Girls,pop,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,1,56Tl3UgyZTqfZtvFNS31wm,2006,2006
Cry for You,September,"pop, Dance/Electronic",0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,1,1mvZErZBp7WZT3HfGBykao,2007-03-08,2007
Crank That (Soulja Boy),Soulja Boy,"hip hop, pop",0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,1,66TRwr5uJwPt15mfFkzhbi,2007-01-01,2007
Kiss Kiss (feat. T-Pain),Chris Brown,"hip hop, pop, R&B",0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,1,3wKKkGVn7cVSfgPeYYIiXG,2007-11-06,2007
Live Your Life,T.I.,"hip hop, pop",0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,1,3jlbL2OTD5YmIunYzgQTAN,2008-09-07,2008
I Hate This Part,The Pussycat Dolls,"pop, R&B",0.756,0.612,5,-4.371,1,0.0317,0.0659,0.0,0.274,0.452,111.572,1,3tSuRiNgJmMqmYR23dCqnR,2008-09-23,2008
One Time,Justin Bieber,pop,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,1,6eDApnV9Jdb1nYahOlbbUh,2009-01-01,2009
Broken Strings,James Morrison,"pop, R&B",0.57,0.717,1,-4.914,1,0.029,0.00967,0.0,0.0833,0.321,111.91,1,0tp2cUnCAcsR6xL5kw9HKu,2008-01-01,2008
Whatever You Like,T.I.,"hip hop, pop",0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,1,1IAzD1muglOxOcPbUHs70R,2008-09-07,2008
Love Drunk,Boys Like Girls,pop,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,1,20X9OeC606XNwEtDBOym5u,2009-09-07,2009
Party In The U.S.A.,Miley Cyrus,pop,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,1,5Q0Nhxo0l2bP3pNjpGJwV1,2009-01-01,2009
Bad Romance,Lady Gaga,pop,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,1,0SiywuOBRcynK0uKGWdCnn,2009-11-05,2009
Can't Be Tamed,Miley Cyrus,pop,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,1,2r6DdaSbkbwoPzuK6NjLPn,2010-01-01,2010
Down,Jay Sean,"hip hop, pop, R&B",0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,1,6cmm1LMvZdB5zsCwX5BjqE,2009-01-01,2009
Baby,Justin Bieber,pop,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,1,6epn3r7S14KUqlReYr77hA,2010-01-01,2010
Whatcha Say,Jason Derulo,"hip hop, pop",0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,1,67T6l4q3zVjC5nZZPXByU8,2010-02-24,2010
Back To December,Taylor Swift,pop,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,1,79uDOz0zuuWS7HWxzMmTa2,2023-07-07,2023
Stereo Love - Radio Edit,Edward Maya,pop,0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,1,3q8zQsSAO8KX4zCuOyte1n,2009,2009
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,"hip hop, pop",0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,1,03tqyYWC9Um2ZqU0ZN849H,2010-10-01,2010
What's My Name?,Rihanna,"hip hop, pop, R&B",0.692,0.786,2,-2.959,1,0.069,0.23,0.0,0.0797,0.583,100.025,1,6DkXLzBQT7cwXmTyzAB1DJ,2010-01-01,2010
Jar of Hearts,Christina Perri,pop,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,1,0HZhYMZOcUzZKSFwPOti6m,2011-05-10,2011
We Found Love,Rihanna,"hip hop, pop, R&B",0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,1,6qn9YLKt13AGvpq9jfO8py,2011-11-18,2011
Sexy And I Know It,LMFAO,"hip hop, pop, Dance/Electronic",0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,1,0obBFrPYkSoBJbvHfUIhkv,2011-01-01,2011
Impossible,James Arthur,pop,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,1,5yVIlYEHZxQVLyInCdldoS,2013-11-04,2013
Paradise,Coldplay,"rock, pop",0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,1,6nek1Nin9q48AVZcWs9e9D,2011-10-24,2011
I Knew You Were Trouble.,Taylor Swift,pop,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,1,6FB3v4YcR57y4tXFcdxI1E,2012-10-22,2012
As Long As You Love Me,Justin Bieber,pop,0.571,0.873,0,-3.382,0,0.1,0.0811,0.0,0.361,0.613,139.691,1,75lo8VozcCLRG9WGG674iD,2012-01-01,2012
What Makes You Beautiful,One Direction,pop,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,1,4cluDES4hQEUhmXj6TXkSo,2012-05-25,2012
Ride,Lana Del Rey,pop,0.373,0.686,0,-5.52,1,0.034,0.128,1.96e-06,0.383,0.189,93.763,1,0ZyfiFudK9Si2n2G9RkiWj,2012-01-01,2012
Locked out of Heaven,Bruno Mars,pop,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,1,3w3y8KPTfNeOKPiqUTakBh,2012-12-07,2012
Beauty And A Beat,Justin Bieber,pop,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,1,6QFCMUUq1T2Vf5sFUXcuQ7,2012-01-01,2012
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,pop,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,1,6PUIzlqotEmPuBfjbwYWOB,2013-02-01,2013
One Way or Another (Teenage Kicks),One Direction,pop,0.489,0.867,4,-3.121,0,0.071,0.025,0.0,0.586,0.409,162.131,1,3jZomvOBa5qfTo5HkqI1p5,2013-02-17,2013
Try,P!nk,pop,0.674,0.628,2,-7.079,1,0.03,0.00144,0.0,0.0944,0.552,103.998,1,1jF7IL57ayN4Ity3jQqGu0,2012-09-18,2012
Wings,Birdy,pop,0.474,0.707,7,-4.534,1,0.0253,0.0831,0.0,0.162,0.224,83.235,1,2Kz5qeXifBxE0zmuoVchlM,2013-09-16,2013
Best Song Ever,One Direction,pop,0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,1,5T7ZFtCcOgkpjxcuaeZbw0,2013-11-25,2013
Wrecking Ball,Miley Cyrus,pop,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,1,2vwlzO0Qp8kfEtzTsCXfyE,2013-10-04,2013
We Can't Stop,Miley Cyrus,pop,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,1,2y4lAQpi5VTNLu2ldeTdUH,2013-10-04,2013
Bonfire Heart,James Blunt,pop,0.575,0.821,0,-5.7,1,0.0527,0.181,0.0,0.124,0.449,118.021,1,2kvyMNHyxQt2UJ5EKvxaOC,2013-10-18,2013
22,Taylor Swift,pop,0.661,0.729,7,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987,1,3yII7UwgLF6K5zW3xad3MP,2021-11-12,2021
When I Was Your Man,Bruno Mars,pop,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,1,0nJW01T7XtvILxQgC5J7Wh,2012-12-07,2012
Animals,Maroon 5,pop,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,1,2bL2gyO6kBdLkNSkxXNh6x,2014-09-02,2014
Stay With Me,Sam Smith,pop,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,1,5Nm9ERjJZ5oyfXZTECKmRt,2014-05-26,2014
Chandelier,Sia,pop,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,1,2s1sdSqGcKxpPr5lCl7jAV,2015-05-04,2015
Talk Dirty (feat. 2 Chainz),Jason Derulo,"hip hop, pop",0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,1,6g6A7qNhTfUgOSH7ROOxTD,2013-09-10,2013
Burn,Ellie Goulding,"pop, rock, Dance/Electronic",0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,1,5lF0pHbsJ0QqyIrLweHJPW,2012-10-12,2012
Don't,Ed Sheeran,pop,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,1,6gTJaPuj8DT8RjuDJyBgzP,2013,2013
Latch,Disclosure,"pop, Dance/Electronic",0.503,0.727,1,-5.456,1,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,1,51ODNNDZm21HU7wI7cccRr,2013-06-03,2013
Steal My Girl,One Direction,pop,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,1,2Bs4jQEGMycglOfWPBqrVG,2014-11-17,2014
Night Changes,One Direction,pop,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,1,5O2P9iiztwhomNh8xkR9lJ,2014-11-17,2014
Sing,Ed Sheeran,pop,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,1,6K8qKeWo5MsFED7wCR6Kop,2014-06-21,2014
Elastic Heart,Sia,pop,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,1,5S9lfZu1YF8xKkgSsqL2Bd,2015-05-04,2015
Story of My Life,One Direction,pop,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,1,4nVBt6MZDDP6tRVdQTgxJg,2013-11-25,2013
Little Do You Know,Alex & Sierra,pop,0.5,0.292,0,-8.554,1,0.0323,0.746,0.0,0.188,0.37,145.879,1,1almCHdsfikRPfVB9VrEdT,2014-10-06,2014
Money On My Mind,Sam Smith,pop,0.688,0.841,2,-5.217,1,0.179,0.204,0.000295,0.229,0.743,133.912,1,5XX9oGZfgKMXdHnEp4t2JB,2014-05-26,2014
Uptown Funk (feat. Bruno Mars),Mark Ronson,pop,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,1,32OlwWuMpZ6b0aN2RZOeMS,2015-01-12,2015
Thinking out Loud,Ed Sheeran,pop,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,1,1Slwb6dOYkBlWal1PGtnNg,2013,2013
What Do You Mean?,Justin Bieber,pop,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,1,4B0JvthVoAAuygILe3n4Bs,2015-11-13,2015
You Know You Like It,DJ Snake,"hip hop, pop, Dance/Electronic",0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,1,57kR5SniQIbsbVoIjjOUDa,2014-10-14,2014
Ghost Town,Adam Lambert,pop,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955,1,44aN5xKL3kGHvQ5bXVk6B8,2015-06-12,2015
Na Na,Trey Songz,"hip hop, pop, R&B",0.67,0.476,9,-6.253,0,0.0406,0.328,0.0,0.104,0.235,96.975,1,5maiP9UMnTSgoxPX8X3bdz,2014-07-01,2014
Worth It (feat. Kid Ink),Fifth Harmony,pop,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,1,41Fflg7qHiVOD6dEPvsCzO,2015-01-30,2015
Like I Can,Sam Smith,pop,0.656,0.627,7,-6.627,0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,1,2TeLIzFBe3hxkPR5FIQZut,2014-05-26,2014
Drag Me Down,One Direction,pop,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,1,2K87XMYnUMqLcX3zvtAF4G,2015-11-13,2015
Confident,Demi Lovato,pop,0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,1,3DXXKDbbZKyAZfNb96ST3q,2015-01-01,2015
Same Old Love,Selena Gomez,pop,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,1,1BZG99C7Co1r6QUC3zaS59,2015-10-09,2015
Talking Body,Tove Lo,"pop, Dance/Electronic",0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,1,2tpfxAXiI52znho4WE3XFA,2014-09-24,2014
High By The Beach,Lana Del Rey,pop,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,1,7g3htkaLz4ETFn0cifwM3y,2015-09-18,2015
Kill Em With Kindness,Selena Gomez,pop,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,1,1QNoKVgA758HFLu3TW2q7R,2015-10-09,2015
Let It All Go,Birdy,pop,0.383,0.43,10,-8.644,1,0.0302,0.817,1.04e-06,0.0869,0.174,107.005,1,5MzXUNfn8AAcz4Z6j2KgTK,2015-09-18,2015
Love Me Harder,Ariana Grande,pop,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,1,5J4ZkQpzMUFojo1CtAZYpn,2014-08-22,2014
Style,Taylor Swift,pop,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,1,4lIxdJw6W3Fg4vUIYCB0S5,2014-10-27,2014
The Heart Wants What It Wants,Selena Gomez,pop,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,1,6wJwkMo278iWVlWl1XQ4WA,2014-01-01,2014
Sorry,Justin Bieber,pop,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,1,09CtPGIpYB4BrO8qb1RGsF,2015-11-13,2015
Perfect,One Direction,pop,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,1,3NLnwwAQbbFKcEcV8hDItk,2015-11-13,2015
Lips Are Movin,Meghan Trainor,pop,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,1,3fNaQSMgFrYTkTshRX7J1u,2015-01-09,2015
Love Yourself,Justin Bieber,pop,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,1,50kpGaPAhYJ3sGmk6vplg0,2015-11-13,2015
I Know What You Did Last Summer,Shawn Mendes,pop,0.687,0.761,9,-4.582,0,0.0876,0.102,0.0,0.147,0.743,113.939,1,2GyA33q5rti5IxkMQemRDH,2015-04-14,2015
My House,Flo Rida,"hip hop, pop",0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,1,6Knv6wdA0luoMUuuoYi2i1,2015-04-07,2015
Renegades,X Ambassadors,"hip hop, rock, pop",0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,1,0fYVliAYKHuPmECRs1pbRf,2015-06-30,2015
Don't,Bryson Tiller,"hip hop, pop, R&B",0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,1,3pXF1nA74528Edde4of9CC,2015-10-02,2015
Shape of You,Ed Sheeran,pop,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,1,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,2017
Too Good At Goodbyes,Sam Smith,pop,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,1,1mXVgsBdtIVeCLJnSnmtdV,2017-11-03,2017
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047,1,1nueTG77MzNkJTKQ0ZdGzT,2018-06-15,2018
Perfect,Ed Sheeran,pop,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,1,0tgVpDi06FyKpA1z0VMD4v,2017-03-03,2017
Look What You Made Me Do,Taylor Swift,pop,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,1,1P17dC1amhFzptugyAO7Il,2017-11-10,2017
...Ready For It?,Taylor Swift,pop,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,1,2yLa0QULdQr0qAIvVwN6B5,2017-11-10,2017
Breathe,Jax Jones,"hip hop, pop, Dance/Electronic",0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,1,4Vbz3osCh6DwHYv5gVv5H2,2019-07-12,2019
Nevermind,Dennis Lloyd,pop,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,1,63SevszngYpZOwf63o61K4,2017-06-30,2017
Be Alright,Dean Lewis,pop,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,1,5qrSlOut2rNAWv3ubArkNy,2019-03-22,2019
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,1,6V1bu6o1Yo5ZXnsCJU8Ovk,2018-06-15,2018
Someone You Loved,Lewis Capaldi,pop,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,1,7qEHsqek33rTcFNT9PFqLf,2019-05-17,2019
Antisocial (with Travis Scott),Ed Sheeran,pop,0.716,0.823,5,-5.313,0,0.0495,0.132,0.0,0.361,0.91,151.957,1,1DhRbox3xkceP64k3JeYfW,2019-07-12,2019
Doin' Time,Lana Del Rey,pop,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,1,0Oqc0kKFsQ6MhFOLBNZIGX,2019-08-30,2019
lovely (with Khalid),Billie Eilish,"pop, Dance/Electronic",0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,1,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,2018
Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,0.885,0.762,8,-5.513,0,0.216,0.219,0.0,0.162,0.605,138.058,1,1AI7UPw3fgwAFkvAlZWhE0,2019-07-12,2019
Dance Monkey,Tones And I,pop,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,1,2XU0oxnq2qxCpomAAuJY8K,2019-10-17,2019
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,0.746,0.787,4,-6.373,1,0.12,0.214,0.0,0.0669,0.607,95.005,1,4wuCQX7JvAZLlrcmH4AeZF,2019-07-12,2019
How Do You Sleep?,Sam Smith,pop,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,1,6b2RcmUt1g9N9mQ3CbjX2Y,2019-07-19,2019
Cruel Summer,Taylor Swift,pop,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,1,1BxfuPKGuaTgP7aM0Bbdwr,2019-08-23,2019
Dancing With A Stranger (with Normani),Sam Smith,pop,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,1,3xgT3xIlFGqZjYW9QlhJWp,2020-10-30,2020
oh jesus,jon mclaughlin,Pop/Rock; Pop; Romântico,0.43,0.158,0.4545454545454546,0.5747379319270093,1.0,0.0335,0.946,0.0,0.101,0.357,0.5116509487558232,1,4TkS11fxUhECAnDUPB2Zkl,2013-09-24,2013
dvno,justice,Tecnopop; Electronica; Indie,0.748,0.743,0.0909090909090909,0.8109550925326777,1.0,0.242,4.05e-05,0.2270433905146316,0.0272,0.551,0.5818566072037269,1,7pdDBqpilpdW7c40DpFMW9,2007-06-11,2007
每次你走的時分,my little airport,cantopop,0.576,0.505,11,-13.07,0,0.0392,0.753,0.199,0.151,0.57,127.025,1,6i8z0tElGO6Ye3Bk7nW496,2021-08-30,2021
下了兩天雨,my little airport,cantopop,0.577,0.228,11,-14.684,1,0.0306,0.834,0.000805,0.384,0.161,119.035,1,3fkGSUHFDNpqft16NLwY1T,2021-08-30,2021
詩歌舞街,my little airport,cantopop,0.641,0.479,4,-15.395,1,0.0443,0.732,0.0598,0.115,0.301,121.974,1,45rZ0CtRR470rAOFiWJNeM,2021-08-30,2021
