rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,genre_chosic,is_pop,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Adorn,Miguel,5hJFhO9dvhJoDvUZZ9iWSw,2012,['r&b'],r&b,FALSE,"Length: 3:13  Tempo: 179 bpm  Loudness: -6 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 75/100

Happiness: 24/100

Danceability: 63/100

Energy: 58/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 19/100

Speechiness: 18/100",3:13,179,-6,B Minor,10A,Yes,75,24,63,58,5,0,19,18
Fly Over States,Jason Aldean,0dUsJqLL2gVO9SOQXtgCMd,2010-11-02,"['country', 'acoustic country']","country, rock",FALSE,"Length: 3:38  Tempo: 82 bpm  Loudness: -3 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 73/100

Happiness: 18/100

Danceability: 49/100

Energy: 74/100

Acousticness: 7/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 3/100",3:38,82,-3,G Major,9B,Yes,73,18,49,74,7,0,11,3
Can't Hold Us,Macklemore & Ryan Lewis,22skzmqfdWrjJylampe0kt,2012-10-09,[],"pop, hiphop, rap",TRUE,"Length: 4:18  Tempo: 146 bpm  Loudness: -4 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 83/100

Happiness: 85/100

Danceability: 64/100

Energy: 92/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 8/100",4:18,146,-4,D Major,10B,Yes,83,85,64,92,3,0,9,8
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2sCl0FFOzZSmYZs90zOpd1,2013-01-01,"[""children's music""]",others,FALSE,"Length: 2:08  Tempo: 130 bpm  Loudness: -9 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 64/100

Happiness: 79/100

Danceability: 88/100

Energy: 46/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 4/100

Speechiness: 8/100",2:08,130,-9,C Major,8B,Yes,64,79,88,46,5,0,4,8
Holy Grail,Jay-Z,1q9bLSeIlGf2xBvbOkp2Wr,2013-07-04,"['hip hop', 'east coast hip hop', 'rap']","pop, rap, hiphop",TRUE,"Length: 5:38  Tempo: 145 bpm  Loudness: -7 db 
Key: D Minor Camelot: 7A Explicit: Yes
Popularity: 67/100

Happiness: 16/100

Danceability: 68/100

Energy: 53/100

Acousticness: 6/100

Instrumentalness: 0/100

Liveness: 26/100

Speechiness: 8/100",5:38,145,-7,D Minor,7A,Yes,67,16,68,53,6,0,26,8
Safe and Sound,Capital Cities,5JVbvCHX10U2pLa5DEqGav,2013-06-04,[],rock,FALSE,"Length: 3:12  Tempo: 118 bpm  Loudness: -5 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 88/100

Happiness: 77/100

Danceability: 66/100

Energy: 82/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 3/100",3:12,118,-5,C Major,8B,Yes,88,77,66,82,0,0,10,3
Beauty and a Beat,Justin Bieber,6QFCMUUq1T2Vf5sFUXcuQ7,2012-01-01,[],"pop, rap, hiphop",TRUE,"Length: 3:47  Tempo: 128 bpm  Loudness: -5 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 82/100

Happiness: 53/100

Danceability: 60/100

Energy: 84/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 6/100",3:47,128,-5,C Major,8B,Yes,82,53,60,84,0,0,7,6
I Want Crazy,Hunter Hayes,5H4BGxYudsHLks8MRrIVGh,2011,['country'],"rock, country",FALSE,"Length: 3:56  Tempo: 103 bpm  Loudness: -5 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 65/100

Happiness: 56/100

Danceability: 56/100

Energy: 88/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 4/100",3:56,103,-5,G#/A♭ Major,4B,Yes,65,56,56,88,5,0,11,4
Carry On,Fun,5xZjfKSfTooDP2rcAgjxlH,2012-02-14,[],others,FALSE,"Length: 4:38  Tempo: 145 bpm  Loudness: -6 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 63/100

Happiness: 37/100

Danceability: 39/100

Energy: 69/100

Acousticness: 12/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 7/100",4:38,145,-6,F Major,7B,Yes,63,37,39,69,12,0,8,7
Next to Me,Emeli Sandé,3vjQt1znaFEnX3PBXsgtVc,2012-01-01,[],"pop, r&b",TRUE,"Length: 3:16  Tempo: 95 bpm  Loudness: -5 db 
Key: G Minor Camelot: 6A Explicit: Yes
Popularity: 55/100

Happiness: 39/100

Danceability: 67/100

Energy: 81/100

Acousticness: 9/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 4/100",3:16,95,-5,G Minor,6A,Yes,55,39,67,81,9,0,11,4
It Goes Like This,Thomas Rhett,2rGgjcjiq1JKRISnDuqlTA,2013-01-01,"['country', 'acoustic country', 'pop country']","rock, country",FALSE,"Length: 3:06  Tempo: 168 bpm  Loudness: -6 db 
Key: B Major Camelot: 1B Explicit: Yes
Popularity: 70/100

Happiness: 51/100

Danceability: 54/100

Energy: 84/100

Acousticness: 12/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 6/100",3:06,168,-6,B Major,1B,Yes,70,51,54,84,12,0,9,6
Bugatti,Ace Hood,08ljt6NCNAgewQaMya1URa,2013-01-01,[],"hiphop, rap",FALSE,"Length: 4:29  Tempo: 130 bpm  Loudness: -5 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 63/100

Happiness: 7/100

Danceability: 60/100

Energy: 59/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 5/100",4:29,130,-5,C♯/D♭ Major,3B,Yes,63,7,60,59,2,0,10,5
Runnin' Outta Moonlight,Randy Houser,4vlJejZrcujj0nSCqIBeWn,2013-01-22,"['country', 'acoustic country']",country,FALSE,"Length: 3:13  Tempo: 172 bpm  Loudness: -4 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 70/100

Happiness: 77/100

Danceability: 53/100

Energy: 80/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 6/100

Speechiness: 4/100",3:13,172,-4,D Major,10B,Yes,70,77,53,80,4,0,6,4
I'm Different,2 Chainz,1odwi1SN3pJKENZe12U2OQ,2012-01-01,"['southern hip hop', 'rap']","rap, hiphop",FALSE,"Length: 3:27  Tempo: 98 bpm  Loudness: -5 db 
Key: A#/B♭ Major Camelot: 6B Explicit: Yes
Popularity: 61/100

Happiness: 70/100

Danceability: 94/100

Energy: 70/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 6/100",3:27,98,-5,A#/B♭ Major,6B,Yes,61,70,94,70,5,0,8,6
Talk Dirty,Jason Derulo,5l3CML2OnzfNs5RfVgbcLt,2013-09-10,[],"pop, rap, hiphop",TRUE,"Length: 2:57  Tempo: 100 bpm  Loudness: -7 db 
Key: F#/G♭ Major Camelot: 2B Explicit: Yes
Popularity: 71/100

Happiness: 76/100

Danceability: 76/100

Energy: 65/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 31/100

Speechiness: 23/100",2:57,100,-7,F#/G♭ Major,2B,Yes,71,76,76,65,3,0,31,23
Bailando,Enrique Iglesias,5M830cD7MNeiiwIGHzH9TV,2014-07-04,"['latin pop', 'latin']",others,FALSE,"Length: 4:03  Tempo: 91 bpm  Loudness: -4 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 68/100

Happiness: 96/100

Danceability: 72/100

Energy: 78/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 5/100

Speechiness: 11/100",4:03,91,-4,G Major,9B,Yes,68,96,72,78,4,0,5,11
Wiggle,Jason Derulo,4B4zDmbHdkXZ1wUJv1yKFy,2013-09-10,[],"hiphop, rap",FALSE,"Length: 3:13  Tempo: 82 bpm  Loudness: -7 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 60/100

Happiness: 72/100

Danceability: 70/100

Energy: 62/100

Acousticness: 8/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 25/100",3:13,82,-7,A Minor,8A,Yes,60,72,70,62,8,0,16,25
The Man,Aloe Blacc,4e6ZN0EcEqYx74BTC5xQzy,2013-01-01,[],"r&b, pop",TRUE,"Length: 4:15  Tempo: 86 bpm  Loudness: -7 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 69/100

Happiness: 47/100

Danceability: 53/100

Energy: 76/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 23/100

Speechiness: 4/100",4:15,86,-7,B Minor,10A,Yes,69,47,53,76,3,0,23,4
Hot Boy,Bobby Shmurda,4wfzdHEUMd2badwM40lLXu,2014-11-10,[],rap,FALSE,"Length: 3:14  Tempo: 84 bpm  Loudness: -8 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 38/100

Happiness: 19/100

Danceability: 86/100

Energy: 50/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 6/100

Speechiness: 35/100",3:14,84,-8,A Major,11B,Yes,38,19,86,50,4,0,6,35
My Hitta,YG,5Egr4Kxqr7VGlwLz2FulYL,2014-03-18,[],"pop, rap, hiphop",TRUE,"Length: 3:56  Tempo: 86 bpm  Loudness: -7 db 
Key: A#/B♭ Minor Camelot: 3A Explicit: Yes
Popularity: 32/100

Happiness: 68/100

Danceability: 76/100

Energy: 50/100

Acousticness: 14/100

Instrumentalness: 0/100

Liveness: 14/100

Speechiness: 11/100",3:56,86,-7,A#/B♭ Minor,3A,Yes,32,68,76,50,14,0,14,11
Burnin' It Down,Jason Aldean,32FcjEWPn4aSRqJ6loL01b,2014-10-07,"['country', 'acoustic country']","rock, country",FALSE,"Length: 3:39  Tempo: 136 bpm  Loudness: -7 db 
Key: F#/G♭ Major Camelot: 2B Explicit: Yes
Popularity: 73/100

Happiness: 64/100

Danceability: 68/100

Energy: 80/100

Acousticness: 31/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 5/100",3:39,136,-7,F#/G♭ Major,2B,Yes,73,64,68,80,31,0,11,5
Bottoms Up,Brantley Gilbert,7nDoBWDvf02SyD8kEQuuPO,2014-01-01,"['country', 'country rock', 'country hip hop', 'acoustic country']","rock, country",FALSE,"Length: 3:40  Tempo: 170 bpm  Loudness: -6 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 71/100

Happiness: 55/100

Danceability: 47/100

Energy: 86/100

Acousticness: 11/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 4/100",3:40,170,-6,G Major,9B,Yes,71,55,47,86,11,0,13,4
Lifestyle,Rich Gang,7DTlsMOQjGysXHpwwpHuPl,2014-06-05,[],"hiphop, rap",FALSE,"Length: 4:29  Tempo: 88 bpm  Loudness: -5 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 73/100

Happiness: 47/100

Danceability: 55/100

Energy: 67/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 27/100",4:29,88,-5,C♯/D♭ Major,3B,Yes,73,47,55,67,2,0,9,27
Bartender,Lady Antebellum,1qFQKFt9fp1LU9QsvFbyPS,2014-09-30,"['country', 'pop country']","pop, country",TRUE,"Length: 3:18  Tempo: 101 bpm  Loudness: -5 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 67/100

Happiness: 65/100

Danceability: 63/100

Energy: 93/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 33/100

Speechiness: 3/100",3:18,101,-5,B Minor,10A,Yes,67,65,63,93,2,0,33,3
White Walls,Macklemore & Ryan Lewis,1MFD6gdVDjFFMM8ItH9ZhI,2012-10-09,[],"pop, hiphop, rap",TRUE,"Length: 3:40  Tempo: 116 bpm  Loudness: -6 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 63/100

Happiness: 84/100

Danceability: 77/100

Energy: 78/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 34/100

Speechiness: 14/100",3:40,116,-6,G Major,9B,Yes,63,84,77,78,5,0,34,14
Earned It,The Weeknd,1cQ3LIkZE68pMSnPhZWXLu,2021-02-05,[],"pop, r&b",TRUE,"Length: 4:37  Tempo: 120 bpm  Loudness: -8 db 
Key: D Minor Camelot: 7A Explicit: Yes
Popularity: 76/100

Happiness: 41/100

Danceability: 66/100

Energy: 29/100

Acousticness: 41/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 3/100",4:37,120,-8,D Minor,7A,Yes,76,41,66,29,41,0,8,3
Cheerleader,OMI,7vFoFDWqTX0mHzLfrF1Cfy,2015-10-16,[],others,FALSE,"Length: 2:54  Tempo: 100 bpm  Loudness: -5 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 52/100

Happiness: 94/100

Danceability: 86/100

Energy: 72/100

Acousticness: 20/100

Instrumentalness: 0/100

Liveness: 18/100

Speechiness: 3/100",2:54,100,-5,E Major,12B,Yes,52,94,86,72,20,0,18,3
Lean On,Major Lazer & DJ Snake,3qTT9L5f68FWVkaYqHjKpq,2019-03-05,['moombahton'],pop,TRUE,"Length: 2:56  Tempo: 98 bpm  Loudness: -3 db 
Key: G Minor Camelot: 6A Explicit: Yes
Popularity: 79/100

Happiness: 27/100

Danceability: 72/100

Energy: 81/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 56/100

Speechiness: 6/100",2:56,98,-3,G Minor,6A,Yes,79,27,72,81,0,0,56,6
G.D.F.R.,Flo Rida,3D2L5xPKcnsYFjUAAFm4AS,2015-01-21,[],"pop, rap, hiphop",TRUE,"Length: 3:10  Tempo: 146 bpm  Loudness: -4 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 76/100

Happiness: 69/100

Danceability: 66/100

Energy: 83/100

Acousticness: 0/100

Instrumentalness: 1/100

Liveness: 7/100

Speechiness: 7/100",3:10,146,-4,F Major,7B,Yes,76,69,66,83,0,1,7,7
Nasty Freestyle,T-Wayne,0PT7nlpo11hYYyfnBgtilT,2015-05-04,[],rap,FALSE,"Length: 2:22  Tempo: 135 bpm  Loudness: -7 db 
Key: B Major Camelot: 1B Explicit: Yes
Popularity: 59/100

Happiness: 41/100

Danceability: 78/100

Energy: 47/100

Acousticness: 6/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 22/100",2:22,135,-7,B Major,1B,Yes,59,41,78,47,6,0,11,22
Only,Nicki Minaj,1UZ25gykR30Oewh3dBRtVZ,2014-12-12,[],"pop, r&b, hiphop, rap",TRUE,"Length: 5:12  Tempo: 179 bpm  Loudness: -7 db 
Key: G#/A♭ Minor Camelot: 1A Explicit: Yes
Popularity: 67/100

Happiness: 26/100

Danceability: 57/100

Energy: 50/100

Acousticness: 41/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 59/100",5:12,179,-7,G#/A♭ Minor,1A,Yes,67,26,57,50,41,0,10,59
Marvin Gaye,Charlie Puth,4LfkoDOt4mhrbo8Ndk37sQ,2015-11-05,"['soft pop', 'pop']",pop,TRUE,"Length: 3:20  Tempo: 110 bpm  Loudness: -5 db 
Key: C♯/D♭ Minor Camelot: 12A Explicit: Yes
Popularity: 72/100

Happiness: 77/100

Danceability: 81/100

Energy: 63/100

Acousticness: 46/100

Instrumentalness: 0/100

Liveness: 33/100

Speechiness: 9/100",3:20,110,-5,C♯/D♭ Minor,12A,Yes,72,77,81,63,46,0,33,9
The Hanging Tree,James Newton Howard,416MsJxvxSKY96DCmbJIRs,2014-11-21,['soundtrack'],others,FALSE,"Length: 3:38  Tempo: 54 bpm  Loudness: -18 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 74/100

Happiness: 14/100

Danceability: 21/100

Energy: 7/100

Acousticness: 34/100

Instrumentalness: 0/100

Liveness: 21/100

Speechiness: 4/100",3:38,54,-18,A Minor,8A,Yes,74,14,21,7,34,0,21,4
Hit the Quan,iLoveMemphis,4OjuzM3rTWp3q60mEldNSF,2015-10-09,[],others,FALSE,"Length: 3:01  Tempo: 160 bpm  Loudness: -8 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 61/100

Happiness: 63/100

Danceability: 74/100

Energy: 49/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 5/100

Speechiness: 36/100",3:01,160,-8,G#/A♭ Major,4B,Yes,61,63,74,49,0,0,5,36
Kick the Dust Up,Luke Bryan,5g15o2Sm55Hn9ShK5yEXgp,2015-08-07,"['country', 'acoustic country']","rock, country",FALSE,"Length: 3:10  Tempo: 172 bpm  Loudness: -2 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 69/100

Happiness: 82/100

Danceability: 60/100

Energy: 86/100

Acousticness: 20/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 5/100",3:10,172,-2,C♯/D♭ Major,3B,Yes,69,82,60,86,20,0,9,5
She Knows,Ne-Yo,36lO0n3hzVK9zJONfSdmKC,2015-02-13,[],"pop, r&b, hiphop, rap",TRUE,"Length: 3:34  Tempo: 140 bpm  Loudness: -6 db 
Key: G#/A♭ Minor Camelot: 1A Explicit: Yes
Popularity: 72/100

Happiness: 57/100

Danceability: 71/100

Energy: 57/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 59/100

Speechiness: 3/100",3:34,140,-6,G#/A♭ Minor,1A,Yes,72,57,71,57,3,0,59,3
How Deep Is Your Love,Calvin Harris & Disciples,4slBllHFZYlpg3IjeX5CBl,2024-08-08,['edm'],pop,TRUE,"Length: 3:32  Tempo: 122 bpm  Loudness: -4 db 
Key: E Minor Camelot: 9A Explicit: Yes
Popularity: 77/100

Happiness: 33/100

Danceability: 73/100

Energy: 87/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 40/100

Speechiness: 7/100",3:32,122,-4,E Minor,9A,Yes,77,33,73,87,4,0,40,7
Can't Stop the Feeling!,Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,2016-05-06,[],pop,TRUE,"Length: 3:57  Tempo: 113 bpm  Loudness: -6 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 77/100

Happiness: 70/100

Danceability: 67/100

Energy: 83/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 7/100",3:57,113,-6,C Major,8B,Yes,77,70,67,83,1,0,10,7
7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,2016-04-01,[],pop,TRUE,"Length: 3:57  Tempo: 120 bpm  Loudness: -6 db 
Key: A#/B♭ Major Camelot: 6B Explicit: Yes
Popularity: 87/100

Happiness: 34/100

Danceability: 77/100

Energy: 47/100

Acousticness: 29/100

Instrumentalness: 0/100

Liveness: 39/100

Speechiness: 5/100",3:57,120,-6,A#/B♭ Major,6B,Yes,87,34,77,47,29,0,39,5
This Is What You Came For,Calvin Harris,2vlDrKpOC0eSTqTDRcbYyw,2024-08-08,['edm'],pop,TRUE,"Length: 3:42  Tempo: 124 bpm  Loudness: -3 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 82/100

Happiness: 47/100

Danceability: 63/100

Energy: 93/100

Acousticness: 20/100

Instrumentalness: 12/100

Liveness: 15/100

Speechiness: 3/100",3:42,124,-3,A Minor,8A,Yes,82,47,63,93,20,12,15,3
Cold Water,Major Lazer,13pVIIellD76zNT1APT1De,2018-10-19,['moombahton'],pop,TRUE,"Length: 3:05  Tempo: 93 bpm  Loudness: -5 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 72/100

Happiness: 50/100

Danceability: 61/100

Energy: 80/100

Acousticness: 7/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 4/100",3:05,93,-5,F#/G♭ Minor,11A,Yes,72,50,61,80,7,0,16,4
Broccoli,DRAM,7yyRTcZmCiyzzJlNzGC9Ol,2016-10-21,[],"rap, hiphop",FALSE,"Length: 3:45  Tempo: 146 bpm  Loudness: -7 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 67/100

Happiness: 71/100

Danceability: 89/100

Energy: 53/100

Acousticness: 24/100

Instrumentalness: 0/100

Liveness: 6/100

Speechiness: 13/100",3:45,146,-7,G#/A♭ Major,4B,Yes,67,71,89,53,24,0,6,13
