name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb,is_pop,length (total sec),tempo,loudness,scale,key (num),camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe
green grows the holly,calexico,5P0cZ3i8YB7DFbVLXuuPeL,2012,9999,0,1,239,116,-11,Major,0,8B,19,40,30,89,0,11,3
everybody needs a best friend,norah jones,5SfbIX2V08P5XIRheWAIPf,2012,9999,0,1,146,140,-8,Minor,0,5A,74,62,41,58,0,21,4
"hoy por ti, mañana por mi",joan manuel serrat,68UXsHsoRN1XQcsURRkF2e,2012,9999,0,1,248,88,-7,Major,8,4B,40,65,65,56,0,14,9
monkey man - live,the specials,3FqvPJ0eXueDKZRgZa3ofX,2012,9999,0,1,156,164,-6,Major,7,9B,63,31,96,2,0,97,11
alexandrie alexandra,claude françois,0VLXNg5Eoq6uv9Yn1Tz8WE,2012,9999,0,1,284,127,-11,Major,9,11B,90,68,84,0,14,31,5
without you,dynamicduo,7nmmbIDv0wvG6IUNLpHP3C,2012,9999,0,1,239,85,-6,Minor,1,12A,73,65,63,34,0,10,20
sik'khuzile - live,black coffee,0Z2W2emvTVhnsIxTfccDcf,2012,9999,0,1,387,124,-8,Minor,6,11A,58,56,94,20,58,30,6
amma mariamma,harini,079kf15c7nwwgtv8UZks7u,2012,9999,0,1,574,209,-11,Major,8,4B,82,44,48,51,0,20,10
something you said,thermal and a quarter,1xnuzsPRrDsqovdFTlLjZ7,2012,9999,0,1,215,88,-15,Major,2,10B,28,54,11,84,11,10,4
pais tropical / arerê / taj mahal - ao vivo,ivete sangalo,6dUql3bjQC9wgP9LEJw5Bd,2012,9999,0,1,309,173,-7,Minor,1,12A,63,54,94,23,0,74,15
feels right,yonas,6iVN1KgXCal5E4O61UeBFD,2012,9999,0,1,190,180,-7,Minor,9,8A,65,53,87,8,0,5,27
這一次意外,jacky cheung,2MGAPAwN3wiyMHZ6ZsRINU,2012,9999,0,1,287,132,-11,Minor,6,11A,44,63,56,52,0,20,3
burst! - bart b more remix,peaches,2kTKdGgnPDcWbZmfQrkL3S,2012,9999,0,1,375,126,-7,Major,11,1B,69,67,82,0,85,7,7
lily love,the chieftains,2cor6CGj8LKK70h15LPNwd,2012,9999,0,1,181,66,-11,Major,9,11B,26,37,27,89,0,9,3
if you need it,daytrader,1wpbRM1U4UlBPCampZB8pK,2012,9999,0,1,220,167,-4,Major,1,3B,50,46,89,0,0,8,5
de pequeño fue el coco,melendi,7I6Zy8y74KcBusG2ICymx3,2012,9999,0,1,242,93,-4,Major,0,8B,63,41,88,18,0,25,13
win and win,alanis morissette,2SArY773aarhbkTUovvPCz,2012,9999,0,1,301,120,-9,Major,9,11B,39,54,67,1,0,11,3
save the day - myon & shane 54 summer of love mix,aruna,1m8OcMZtDJSp5mUQJJrCEZ,2012,9999,0,1,385,134,-5,Minor,6,11A,51,74,59,0,0,67,6
bullets - nause & adrian lux remix radio,rebecca & fiona,16cPIiSeqmapp6WYzx0XF7,2012,9999,0,1,157,128,-9,Major,2,10B,29,58,83,0,23,22,4
下靶,c allstar,2nAUkGsVMzw0IT6YbuygIU,2012,9999,0,1,238,123,-10,Major,1,3B,34,57,39,57,0,10,7
not giving in (feat. john newman & alex clare) - bondax remix,rudimental,5fZ81gAHlI6r1vDzce2pMa,2012,9999,0,1,203,172,-9,Major,0,8B,47,84,52,18,36,8,18
plano marmita,dillo,1O3ufFIePeL1sAF9pYmkT5,2012,9999,0,1,219,100,-8,Major,7,9B,70,61,83,2,0,75,3
breakthrough,devin wild,4it5Cchg13sT1o38hQHmgS,2017,9999,0,1,163,150,-3,Major,8,4B,17,51,95,1,0,20,4
the sound of the summer,the chocolate watchband,21Fwcn15tQ5YylU0OB5DgM,2023,9999,0,1,130,122,-8,Major,9,11B,78,47,75,39,1,34,4
mystical beginning (feat. karra),kshmr,3z6lijc3wD7SbsyZd5bc3u,2021,9999,0,1,253,96,-6,Minor,7,6A,27,76,52,4,0,43,5
larh geya pecha,gurdas maan,6xhL7RNBF0LWw15lpw4uWv,2021,9999,0,1,445,104,-11,Minor,1,12A,93,63,78,42,2,5,5
ruh,somanshu,7bEjdVCX43rDpDdZ7InwcV,2022,9999,0,1,151,152,-4,Minor,7,6A,8,56,87,20,0,19,17
empelotica,"lenny tavárez, feid",0dKsNKiWmqkoz8YAUzfigC,2024,9999,0,1,190,93,-3,Major,11,1B,65,73,74,8,0,11,11
end of spring,onewe,2CefoWOw2L9V9uRfQJJ3dB,2020,9999,0,1,209,124,-2,Minor,7,6A,69,62,92,3,0,28,6
"maayangal (from ""kutty story"")",karthik,39qZubgns6EDRBj23q5sCT,2021,9999,0,1,170,167,-8,Major,2,10B,48,64,59,49,0,17,9
flames (with zayn) (feat. jungleboi) - steve aoki remix,r3hab,50kWf5i0sLbTi4NLIloY7Y,2020,9999,0,1,168,160,-4,Major,1,3B,73,64,84,1,0,11,5
my soul (easy),jlv,4AIJSKcFcpWhkeM1oaNQfL,2020,9999,0,1,183,118,-4,Minor,6,11A,60,79,75,22,0,24,9
anyway,sharyn,1nsFilaPOtrUhxmRnP2qWi,2021,9999,0,1,274,138,-10,Minor,11,10A,32,54,31,81,0,31,5
it's u - pearl version,himera,1lu62fqUzTHEK3vW3gdmx5,2020,9999,0,1,210,140,-9,Major,9,11B,8,29,54,2,42,7,3
i got a feeling - james hype remix,felix jaehn,4SYbdrmyDpCvWkoC4skk5z,2021,9999,0,1,161,126,-5,Minor,9,8A,91,79,77,11,1,20,5
leaning on a rainbow - from ''blithe spirit'' soundtrack,michael ball,0yGSUULWbwd99y8Qf8YB0n,2021,9999,0,1,153,130,-10,Minor,5,4A,65,78,36,88,0,9,6
thunderbolts of love,part time,64Rp8WazVPAVqboryKdYgR,2021,9999,0,1,196,124,-8,Minor,9,8A,38,62,67,1,59,10,3
à l'errance,rone,0WGl0xMx8UaHVSmWbqNudg,2021,9999,0,1,219,120,-15,Major,0,8B,9,51,57,45,48,10,4
bad idea (feat. butterfly boucher) - live from the hollywood bowl,sara bareilles,4K1AJLAixbEw9FfNGX9HdP,2021,9999,0,1,197,174,-5,Major,1,3B,39,34,92,29,0,68,16
show me some love (feat. sadie walker),honey dijon,4qUx0Q2kGLwjkweKThS3rj,2022,9999,0,1,232,126,-8,Major,2,10B,38,75,73,0,4,31,5
ultimate bliss,onlyoneof,2Kh9rsAMKERCnPa9nRMxKv,2022,9999,0,1,187,140,-3,Major,2,10B,71,74,82,8,0,31,8
scars in heaven,casting crowns,2qg7U5mbHDFTXNKvPNF0IZ,2021,9999,0,1,268,80,-10,Major,5,7B,30,48,36,65,0,7,3
maldonne,clea vincent,66o7ityVVYb59JpBMWJjmB,2019,9999,0,1,196,106,-7,Minor,7,6A,46,70,65,36,0,7,3
panic room - culture shock remix,au/ra,7yahqANoaeBiBRlMZQacCN,2018,9999,0,1,286,174,-2,Minor,5,4A,16,44,97,1,2,12,5
broke boy,malia civetz,7IFFuUYZTa5CUNz099dUqB,2020,9999,0,1,173,98,-4,Major,8,4B,76,79,69,9,0,7,21
all the things she said,area 11,6YcvlI187mAt6Z4bpHuNTi,2020,9999,0,1,211,182,-4,Major,6,2B,37,42,88,0,0,15,5
je kawta din (reprise),anupam roy,7MDwxOvy8omHHqRBch9T3H,2020,9999,0,1,326,106,-11,Major,7,9B,26,49,19,94,0,10,3
afraid,day6,4IIzisEAQJ0pDkvHChn9O4,2020,9999,0,1,212,160,-4,Major,6,2B,27,50,72,6,0,13,3
dreams,kep1er,20ZMsTmsw6JlEQn1PAc79Y,2022,9999,0,1,202,168,-3,Major,4,12B,57,50,94,14,0,30,20
follow the sun,lyod,7wHyS43lEqEMFxAjTcpARd,2022,9999,0,1,159,126,-8,Major,7,9B,37,61,61,54,0,59,12
"il doc 4 (feat. ernia, emis killa, niky savage & andry the hitmaker)","villabanks, ernia, emis killa, niky savage, andry the hitmaker",03eFDbrmDPnbIHXbgXbfP3,2024,9999,0,1,216,175,-6,Major,1,3B,51,70,66,1,0,8,22
drinks or coffee,rosé,3fpWkbEZMP1BgOOfymwoaS,2024,9999,0,1,133,136,-6,Minor,5,4A,54,77,52,7,0,7,16
koukus,"william, averagekidluke",6P0Oi8lYdr7tdAQptCUuNZ,2024,9999,0,1,135,108,-6,Minor,1,12A,48,67,74,10,9,32,4
heartless,justin stone,3gyHxlcU40XNzDbBGw324G,2023,9999,0,1,184,104,-7,Minor,10,3A,27,63,82,7,0,13,3
a state of trance id #001 (asot 1112) [trending track],id,3E2sv3HlOcTS8Q9WYrwAu4,2023,9999,0,1,179,128,-8,Minor,9,8A,37,59,85,0,6,71,11
loco (feat. reverie),nervo,5Ctc81q9J2u43rnqLUz3HN,2017,9999,0,1,165,128,-2,Minor,1,12A,73,65,98,4,0,19,4
wait,august alsina,3ak6Fscs4qMoVsIwaDLgZv,2017,9999,0,1,205,145,-7,Minor,1,12A,35,58,67,0,0,27,28
ole brumm,"tix, morgan sulele",2uzy1VnxxVplvG4jizoPdS,2024,9999,0,1,137,100,-5,Minor,11,10A,78,57,89,2,0,19,9
festa na vizinha - ao vivo,hugo henrique,1EG5Ciub2NhXbqoY3cLiSG,2017,9999,0,1,174,140,-3,Minor,11,10A,81,78,89,63,0,30,7
mezzo rotto (feat. bigmama),"alessandra amoroso, bigmama",0cDq1fpfr9NNFNAKQXLLK7,2024,9999,0,1,198,126,-11,Major,7,9B,51,78,50,50,0,9,16
karma,"marwan pablo, abyusif",5ETFNSZAqO6A66VrgXkd6v,2024,9999,0,1,174,122,-6,Minor,4,9A,64,75,78,26,0,40,6
"agente (feat. emis killa, jake la furia)","baby gang, higashi, emis killa, jake la furia",3ACyO7Li3BD8rUsZlzheJe,2024,9999,0,1,211,121,-5,Minor,5,4A,71,74,69,22,0,12,35
lev i nuet,rh,5fHydJvKwLenrvyczUqXBq,2024,9999,0,1,136,142,-7,Minor,5,4A,74,75,80,65,0,30,37
shape of you - relaxing acoustic covers versions of popular songs,covers culture,2sObyYiwBOU9HaMizpC1bt,2023,9999,0,1,145,96,-9,Major,9,11B,83,71,38,77,0,26,5
blame,daniel glaven,34t7Cr9FhUTj9xbzpMIDaq,2023,9999,0,1,138,120,-8,Minor,3,2A,49,74,69,10,0,29,13
peces de ciudad,ana belén,3x1Ec47DNcMxR04sQ8JvSY,2023,9999,0,1,333,154,-6,Major,5,7B,43,45,64,42,0,15,3
on s'fait du mal (feat. dadju),zaho,0wzYG3c6CaroEAz4wTPNVD,2023,9999,0,1,182,152,-6,Minor,4,9A,41,69,57,37,0,15,6
party monster,"ruger, bnxn",6XQ3ver8HQA5voTiXDk0xG,2024,9999,0,1,175,112,-6,Major,1,3B,42,78,77,4,0,10,5
fact and fiction,dan vapid & the cheats,3M7sOYrpUTdNRHypCoNesA,2022,9999,0,1,91,161,-12,Major,5,7B,75,46,87,0,0,34,3
i can’t sleep,key,420puaYjQpB3nGhHUQIc7f,2023,9999,0,1,231,100,-4,Major,2,10B,34,76,66,9,0,16,5
與我無關,mc 張天賦,7kwk6IdfKLnP1srqfXVOjq,2024,9999,0,1,205,132,-7,Major,10,6B,28,61,67,47,0,11,4
maal,"5miinust, puuluup",3T22AQEgkvSoU38vwabcxN,2024,9999,0,1,51,81,-5,Major,0,8B,44,47,71,56,0,16,4
ily,william,0jBgpqrjZsjAxgWGYE6cs7,2024,9999,0,1,140,96,-5,Minor,1,12A,73,77,67,22,0,7,3
ahhh,lamin,6rBpQC9k089N9GSumHNZpI,2024,9999,0,1,142,124,-7,Minor,6,11A,62,82,83,12,1,7,9
frères ennemis,"zola, koba lad",41clwvXIOkHEvrzenVxxEM,2024,9999,0,1,199,134,-6,Minor,11,10A,67,79,67,78,0,7,3
kees closed,ronnie flex,5cNrexl0KF6l2FTv2CTsl3,2024,9999,0,1,150,123,-7,Major,2,10B,49,92,59,5,0,14,31
constantly,"hyce, boypee, brown joel",3MldGIMtPcupNBI4Dnxolr,2024,9999,0,1,193,198,-8,Major,11,1B,72,37,71,17,0,14,14
初心 (泰禾人壽保險廣告歌),leo ku,4whDRrKVb8b2rnoCpxXnw6,2018,9999,0,1,226,76,-8,Major,7,9B,41,55,48,41,0,16,3
bunca yıl - dedub sessions,"dedublüman, can kazaz",0mSFwDtiAPPNwBOSFnI3G5,2024,9999,0,1,278,121,-8,Minor,11,10A,51,29,66,7,0,34,5
suru (feat. stormzy),"asake, stormzy",25KjMlA0KAwRKS9JuT1NSq,2024,9999,0,1,220,115,-6,Major,1,3B,59,76,75,26,0,19,8
soltera - w sound 01,"w sound, blessd, ovy on the drums",13BDiikG6y5o5cQTK0HpW6,2024,9999,0,1,142,200,-4,Major,1,3B,88,73,58,16,0,11,30
steal the show,shaun,2xGRrcajSvRlBbAXds2l7u,2023,9999,0,1,180,92,-4,Minor,9,8A,69,71,63,3,0,25,3
amg isteria,"tedi aleksandrova, silver",0uoFYncPoFjOb7uU33yyl0,2024,9999,0,1,240,174,-6,Minor,5,4A,67,69,82,2,0,9,12
niente panico,ghali,1GVDt0vn0wJ1QemPfMEWTU,2024,9999,0,1,181,92,-7,Minor,1,12A,45,65,77,54,0,11,4
no more tears,jewel,09fosw8GBPZcJGmGwip06w,2022,9999,0,1,214,123,-5,Major,7,9B,32,47,55,54,0,10,4
den jag kunde blivit - den jag blev,melissa horn,3bXeMeJmDSe8ZPGx2FWnH7,2024,9999,0,1,177,82,-11,Major,3,5B,40,44,34,89,0,10,4
"meteore ⳣ (con gemitaiz, izi, centomilacarie)","mace, izi, centomilacarie, gemitaiz",6nVmWaWPlljkjo6v6vpFfA,2024,9999,0,1,259,145,-6,Major,7,9B,35,57,62,22,0,13,9
demon time (feat. guè),"tony effe, guè",1AzWiX2poap1rnHVTCS5g9,2024,9999,0,1,181,160,-6,Major,3,5B,66,71,66,50,0,12,32
dil na tod,amit trivedi,5kOj7NByP1vRdYY6fo9cMI,2022,9999,0,1,219,80,-17,Major,1,3B,22,32,21,89,3,10,3
eloise - utah remix,penny and sparrow,0kAGxJkCIBMlPR5c3orWY0,2021,9999,0,1,275,140,-8,Major,5,7B,37,73,60,13,4,61,10
plus rien,sdm,5GJUMdVellleheGdi1gfl9,2024,9999,0,1,211,120,-6,Minor,9,8A,59,75,73,27,0,34,20
fancy like (feat. kesha),walker hayes,2GgqnsIe9oNOfXN4YCI2eo,2021,9999,0,1,161,80,-6,Major,1,3B,81,64,80,13,0,27,7
cyberpunk - japanese version,ateez,5vIp4hkZP0eXxJfGartAGl,2022,9999,0,1,223,110,-5,Minor,6,11A,50,63,93,0,0,20,7
topp,adaam,3oF1ZBHm7qDn3bOxIrDEjy,2021,9999,0,1,152,122,-6,Minor,3,2A,81,97,79,16,0,10,18
orea,gruff rhys,5Jx3qJ9tMY2ZJ7rG5WMvfR,2023,9999,0,1,245,142,-11,Major,5,7B,36,38,39,71,0,28,3
paula,coque malla,1Qhy8aB5XcKcsPrc0c3eJc,2023,9999,0,1,198,132,-4,Major,5,7B,95,74,85,22,0,5,4
veronika,raiven,5M2L5RqF8zRvFwPUrQ1tX6,2024,9999,0,1,166,135,-9,Minor,5,4A,33,55,62,10,0,12,4
no pictures,quintino,18nfqYE5Jl9YsJnj2hEEiB,2022,9999,0,1,150,128,-7,Major,6,2B,9,66,91,0,85,26,5
restin af þeim,aron can,5CWTBK1g8c42dEvKfWAHca,2024,9999,0,1,212,130,-7,Major,11,1B,19,81,45,29,0,25,5
hay rama,amar dash,5XkiVxPfKuUfNZYATA5qUL,2022,9999,0,1,348,203,-7,Major,9,11B,49,39,65,7,0,5,21
back to friends,sombr,0FTmksd2dxiE5e3rWyJXs6,2024,9999,0,1,199,93,-2,Major,1,3B,24,44,72,0,0,9,3
roses,jaehyun,6aSwH4whSmRnIZGwjXZS4C,2024,9999,0,1,168,99,-6,Minor,10,3A,56,45,48,35,0,12,10
асылым,elemeimin,5REilTUdqHHpHZZ2karkrU,2024,9999,0,1,197,83,-8,Minor,1,12A,23,64,47,83,5,11,14
teen lakh tanka,ruku suna,0G1CqsKwNFvwxi0PTQmZqa,2023,9999,0,1,303,83,-8,Major,7,9B,92,51,89,56,0,9,7
verdien's dir,sara dastjani,7GqQNj8r1DFcngXIIfvNJu,2024,9999,0,1,124,94,-6,Major,11,1B,56,68,69,14,0,25,32
coco song,aronchupa,5yrsBz5ofgvLXd9MUFdjTY,2022,9999,0,1,177,138,-8,Minor,4,9A,51,75,86,7,0,73,30
the wild life,vacationer,3BQgPxjaJVloaIxfqiqZmo,2014,9999,0,1,172,160,-5,Major,5,7B,79,85,70,6,0,7,13
rora se,kwam 1,2WcukviudKyXfdD1syNbD7,2013,9999,0,1,351,86,-8,Major,9,11B,91,59,80,24,0,7,20
la vida sigue igual - piano,giovanni,3rzN46pv93BGshuYpJunxk,2012,9999,0,1,222,134,-26,Major,3,5B,20,29,6,93,92,7,4
i don't wanna go home - moksi remix,oliver heldens,5LYlarrWTkVFo5Z2UPpc5r,2017,9999,0,1,211,128,-6,Minor,10,3A,81,82,72,13,41,3,17
caress,the bunny the bear,5qccUVuGJtdmgIO9Vce6mb,2017,9999,0,1,214,145,-3,Minor,10,3A,32,39,98,0,0,35,10
bury the hatchet - alternate version,jay-jay johanson,1ThUg0aKhCq6SCLP4GYuhy,2017,9999,0,1,257,130,-14,Minor,6,11A,49,70,53,9,73,11,4
waiting for somebody,paul westerberg,1cmoNl5XyqxbwWPBqSKvCW,2017,9999,0,1,207,136,-5,Major,0,8B,66,49,87,2,0,12,4
when i get home you're so dead,mayday parade,3Wipz5tpkb5c3gi5dUdXHe,2017,9999,0,1,193,146,-5,Minor,9,8A,70,47,79,0,0,31,5
for you - dj koze mbira remix,michael mayer,3dKoL44Oa7bPlUxkXhmY7Z,2017,9999,0,1,269,124,-11,Major,11,1B,48,48,89,0,90,10,4
"pehli baar mohabbat (from ""kaminey"")",mohit chauhan,2hKqAaMrmXrdQCdEvrPYEt,2017,9999,0,1,321,160,-11,Minor,9,8A,58,52,48,41,0,10,3
escalada pra jogar,henrique & diego,0FqVCOK1bkzoWmhd8KTxh9,2017,9999,0,1,186,142,-5,Minor,8,1A,93,71,86,16,0,5,7
banana tree (feat. taylor),jack harlow,7GjSWWocHvqnfhsNxhF96b,2017,9999,0,1,176,87,-10,Major,1,3B,46,71,57,31,0,11,44
hometown (jack wins full house! mix),jack wins,4bmFNQZg9BCJ1Gq1JadMDA,2017,9999,0,1,219,124,-6,Major,11,1B,28,68,88,24,0,22,26
zen champ,iglooghost,7yiilvOLOptf5UmiJMdaVg,2017,9999,0,1,203,165,-7,Major,2,10B,61,56,79,0,52,15,5
stained glass,real estate,7BT9NNN1mNFU3l3u8hX6MW,2017,9999,0,1,234,127,-5,Major,2,10B,79,52,85,0,11,12,3
thank you,james vincent mcmorrow,6XtQGMineFO7wzRRBBanGn,2017,9999,0,1,279,98,-12,Minor,4,9A,37,64,62,34,82,13,5
yalakanım bebeğim,kalben,1cDvFWYfap0eQ3c86jPcRG,2017,9999,0,1,152,180,-12,Minor,4,9A,78,73,56,33,0,11,14
hijinks dad,cotton mather,4UcnXvI2qch625XZUTHZpc,2017,9999,0,1,246,112,-6,Major,11,1B,79,62,73,0,0,32,3
say less,dillon francis,7l0u38sWDqqk6TySNOZtO3,2017,9999,0,1,204,136,-5,Major,8,4B,65,68,93,10,0,34,21
dans cette étable,les prêtres,7o55ZESDJGgxcGmNMWxJS9,2017,9999,0,1,147,79,-13,Major,1,3B,13,20,29,93,0,17,3
