name,artist,spt_id,release_year,length_sec,tempo,loudness,scale,key_num,camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb,cv_fold
dry my soul,amanda jenssen,2z93m6dIaiHdNsDmoLb454,2012,186,95,-4,Minor,11,10A,70,63,88,0,0,15,4,dry my soul all together dry my soul all together now dry my soul all together gonna dry my soul cause im all alone dry my soul all together dry my soul all together now dry my soul all together gonna dry my soul cause im all alone my baby my baby cant see how blind you make me my baby you paint me blue my baby my baby cant see how blind you make me my baby you paint me blue oh ive been workin diggin a hole to put my blues in each time you call governor of my head youre in denial its a big flooded common sense stole my fire gonna dry my soul all together dry my soul all together now dry my soul all together gonna dry my soul cause im all alone my baby my baby cant see how blind you make me my baby you paint me blue my baby my baby cant see how blind you make me my baby you paint me blue your wind is vicious travellin frown can breeze your whispers all over town cant tell the difference is it fire or greed might be your defense either way you make me bleed gonna dry my soul all together dry my soul all together now dry my soul all together gonna dry my soul cause im all alone dry my soul all together dry my soul all together now dry my soul all together gonna dry my soul cause im all alone my baby my baby cant see how blind you make me,0,2
blue,safe bet,1hcV6VquM6EeKang31h3Ur,2020,162,140,-5,Major,11,1B,44,54,75,60,0,23,3,it starts out in a place that i would much rather not be sitting here stuck in the same routine always waiting for a change but never being able to rearrange ive been looking at life through a pair of eyes with a dismal point of view i search for any sign as to why life feels so dull but i dont have a clue all the colors fade the spectrum stays the darkest shade of blue ive shelled it out the last ounce of passion that ive somehow felt the time ive invested i know soon i will melt into the floor and ill exist but nothing more cause ive been looking at life through a pair of eyes with a dismal point of view i search for any sign as to why life feels so dull but i dont have a clue all the colors fade the spectrum stays the darkest shade of blue time to kill or is it killing me cause i can feel a lack of interest in everything my joy it flees and now my spirits low a gentle breeze is sweeping me below as the colors fade the spectrum stays the darkest shade of blue,0,2
22,taylor swift,3yII7UwgLF6K5zW3xad3MP,2021,230,104,-6,Major,7,9B,64,64,70,0,0,8,3,it feels like a perfect night to dress up like hipsters and make fun of our exes uhuh uhuh it feels like a perfect night for breakfast at midnight to fall in love with strangers uhuh uhuh yeah were happy free confused and lonely at the same time its miserable and magical oh yeah tonights the night when we forget about the deadlines its time ohoh i dont know about you but im feeling twentytwo everything will be alright if you keep me next to you you dont know about me but ill bet you want to everything will be alright if we just keep dancing like were twentytwo twentytwo it seems like one of those nights this place is too crowded too many cool kids uhuh uhuh whos taylor swift anyway ew it seems like one of those nights we ditch the whole scene and end up dreamin instead of sleeping yeah were happy free confused and lonely in the best way its miserable and magical oh yeah tonights the night when we forget about the heartbreaks its time ohoh hey i dont know about you but im feeling twentytwo everything will be alright if ooh you keep me next to you you dont know about me but ill bet you want to everything will be alright if alright we just keep dancing like were twentytwo ohohohoh oh twentytwo i dont know about you twentytwo twentytwo ooh it feels like one of those nights we ditch the whole scene it feels like one of those nights we wont be sleepin it feels like one of those nights you look like bad news i gotta have you i gotta have you you woah ooh yeah ehyeah hey i dont know about you i dont know about you but im feeling twentytwo everything will be alright if ooh you keep me next to you you dont know about me you dont know about me but ill bet you want to everything will be alright if we just keep dancing like were dancing like were twentytwo twentytwo woahoh twentytwo dancing like twentytwo yeah yeah twentytwo yeah yeah yeah it feels like one of those nights twentytwo we ditch the whole scene it feels like one of those nights twentytwo we wont be sleeping it feels like one of those nights twentytwo you look like bad news i gotta have you i gotta have you,1,0
build the cities,karma fields,28sWlTOszLYqDxdP7CRfyU,2015,223,112,-5,Minor,4,9A,6,62,74,0,0,18,4,miles of fire im losing ground and in the flashing my world comes crashing down im left in nowhere no place to hide out in the open like ashes in the sky i quit the illusion im moving on im moving on i let the flames light up the future making empires of sound and see the tears become laughter you break the bridges to build the cities i let the flames light up the future making empires of sound and see the tears become laughter you break the bridges to build the cities miles of fire i let the flames light up the future making empires of sound and see the tears become laughter you break the bridges to build the cities i let the flames light up the future making empires of sound and see the tears become laughter you burnt the bridges to build the cities you burnt the bridges to build the cities,0,1
maze,mike perry,22WMp7vNlQ2RMZ5kWDRlYJ,2020,173,110,-3,Major,4,12B,41,65,80,7,0,12,4,if youre ever running round in circles i will leave a light on til youre home whenever its getting hard to breathe remember youre not alone oh i will promise you that youre gonna be alright be alright oh i will guide you through through the darkest times dont be afraid just close your eyes i am waiting on the other side put your hand on my shoulder ill be here til its over well find a way out of the maze tonight well find a way out of the maze tonight put your hand on my shoulder ill be here til its over well find a way out of the maze tonight when it feels like rain just keep on pouring i will help you wash away the blue if you need a shelter in the cold remember im here for you dont be afraid just close your eyes i am waiting on the other side put your hand on my shoulder ill be here til its over well find a way out of the maze tonight put your hand on my shoulder ill be here til its over well find a way out of the maze tonight dont be afraid just close your eyes i am waiting on the other side put your hand on my shoulder ill be here til its over well find a way out of the maze tonight,0,0
it's nothin (feat. 2 chainz),wiz khalifa,2o6Vyac7vIU35VMqhVV3qA,2012,227,138,-6,Major,1,3B,50,83,75,7,0,64,23,listen to this track bitch i built this family on loyalty hmmm uh count another grip smoke another zip let them young niggas tell it i be on my shit make a 100k spent it all today what can i say my dna is givenchy what my swag is retarded what im driving ferrari what im rocking armani gianni versace huh fuck around and ill buy one of you broke niggas my change insane my chain oh that thing its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin stackin cheese til my bread right smokin weed til my head right did it all on my own so ima spend all my bread like its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin oh stackin cheese til my bread right smokin trees til my head right did it all on my own so ima spend all my bread like its nothin its nothin yeah its nothin its nothin uh its nothin its nothin its nothin 2 chainz its nothin my hair longer than your girl go shawty its your world subzero flow when i spit i see snow flurries scarface all out aaall i want in this world i mean all i want for lunch is a blunt and your girl it aint nothin to me but its somethin to you count money like its somethin to do summertime im like fuck the roof winter time im in lo boots and uh its nothin i like bein high because its a better view and i told your ho my chain so cold its on theraflu uh its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin stackin cheese til my bread right smokin weed til my head right did it all on my own so ima spend all my bread like its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin oh stackin cheese til my bread right smokin trees til my head right did it all on my own so ima spend all my bread like its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin you niggas chasin money im on top of it if it aint money dont know what the topic is dont come out til next year that mean im rockin it order thirtyseven bottles call it poppin shit goddamn what you on a private plane fuck you on party in south of france when its cold used to rock all that old shit til it got old its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin stackin cheese til my bread right smokin weed til my head right did it all on my own so ima spend all my bread like its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin oh stackin cheese til my bread right smokin trees til my head right did it all on my own so ima spend all my bread like its nothin its nothin its nothin its nothin its nothin its nothin its nothin its nothin,0,2
show me,kid ink,4q6dqyGM25sKFU8nYAGRe4,2014,217,98,-7,Major,7,9B,66,71,51,4,0,14,5,baby yeah mustard on the beat ho baby let me put your panties to the side uh ima make you feel alright right cause ima give you what you need yeah mami you remind me of somethin uh but i dont know what it is i dont know cause you remind me of somethin girl you gotta show me uh alright you remind me of somethin uh but i dont know what it is right now i dont know cause you remind me of somethin girl you gotta show me uh uh on the real no lie i dont know what it is but you just my type yeah everything just right right b said put it to the left haha dont listen to the hype though woo got a cup in your hand hand babysitting but you aint got no kids we aint leaving til there aint no more left yeah cant see no time on the rolex no i could tell you a freak gon show it lookin for the after party where the door at woo dough on the floor like a doormat uh baby you know where to throw that i said mami you remind me of somethin baby you remind me uh but i dont know what it is oh oh i dont know cause you remind me of somethin girl you gotta show me yeah uh alright you remind me of somethin woo uh but i dont know what it is right now yeah i dont know cause you remind me of somethin girl you gotta show me yeah uh baby if you know what it is on the real cant lie man you just my type ooh baby hands in the air lookin for a bitch right now ooh baby on the real cant lie man you just my type uh so tell me what your name is i dont really care who you came with no unless you got a couple friends look like you my bad if my ex try to fight you ah roll up soon as i roll in security better get with the program too deep aint nowhere to stand so high aint nowhere to land you remind me of somethin missin missus you got my full attention listen let go of the tension if i get a minute ill put your bad ass in detention baby let me put your panties to the side yeah uh yeah ima make you feel alright yeah right cause ima give you what you need yeah oh oh mami you remind me of somethin baby you remind me uh but i dont know what it is remind me yeah i dont know cause you remind me of somethin girl you gotta show me uh alright baby you remind me you remind me of somethin uh but i dont know what it is right now i dont know cause you remind me of somethin yeah yeah yeah girl you gotta show me uh me baby if you know what it is ooh ooh on the real cant lie man you just my type oh baby oh babe hands in the air lookin for a bitch right now on the real cant lie man you just my type im lookin for ya oh baby show me show me somethin tomorrow i might be hungover that dont mean nothin you see all night long ive been wrong baby show me somethin and she gon let me do it baby let me put your panties to the side ima make you feel alright cause ima give you what you need yeah yeah mami you remind me of somethin baby you remind me of somethin uh but i dont know what it is and i dont know what it is i dont know right now cause you remind me of somethin girl you gotta show me uh alright baby you remind me you remind me of somethin haha uh but i dont know what it is right now yeah yeah ooh i dont know cause you remind me of somethin ha ha haha girl you gotta show me oh oh uh,1,4
can't stop me (tiesto edit) [feat. shermanology],afrojack,0c666dYJ0Jeet8c4fAMskk,2012,210,128,-6,Minor,0,5A,27,60,94,0,18,30,4,lyricsif this was the last dance of the night will you join me til the morning light dance the night away cause it feels right you cant stop me noooo if this was the last dance of the night will you join me til the morning light dance the night away cause it feels right you cant stop me noooo you cant stop me no you cant stop me noooo 247 365 a year and we know the end is near you cant stop me noooo we rock it 247 drag on 365 we keep on going and going how i knew it will never dies bring on a dumb carry on and rock alive you cant stop us no no no no no we keep on going and going and going till the break of dawn nothing cant stop me not even if the lights go on one thing on my mind is should get my party on you cant stop us no no no no no no if this was the last dance of the night will you join me til the morning light dance the night away cause it feels right you cant stop me noooo you cant stop me no you cant stop me noooo you cant stop me no you cant stop me noooo you cant stop me no you cant stop me noooo 247 365 with you and we know the end is near you cant stop me noooo,0,0
simple life,tyrone wells,0elo5mDy2XiZG6xqkyIr90,2012,199,176,-8,Major,0,8B,27,46,50,22,0,12,3,everybody wants to tell me where i should be going everybody wants to point the way all these different voices calling out my name feels like more than i can take when all i want to do is do justly love mercy walk humbly live a simple life looking out an open window anything is possible lift my face up to the sun even if i lose my way i wont be far from grace i will find my way back home i will remember to when its complicated we just need to simplify need to simplify,0,1
dangerous woman,ariana grande,6RUhbFEhrvGISaQ8u2j2JN,2016,235,134,-5,Minor,4,9A,29,66,60,5,0,36,4,oh yeah dont need permission made my decision to test my limits cause its my business god as my witness start what i finished dont need no hold up taking control of this kind of moment im locked and loaded completely focused my mind is open all that you got skin to skin oh my god dont you stop boy somethin bout you makes me feel like a dangerous woman somethin bout somethin bout somethin bout you makes me wanna do things that i shouldnt somethin bout somethin bout somethin bout nothing to prove and im bulletproof and know what im doing the way were movin like introducing us to a new thing i wanna savor save it for later the taste the flavor cause im a taker cause im a giver its only nature i live for danger all that you got skin to skin oh my god dont ya stop boy oh yeah somethin bout you makes me feel like a dangerous woman somethin bout somethin bout somethin bout you makes me wanna do things that i shouldnt somethin bout somethin bout somethin bout you all girls wanna be like that bad girls underneath like that you know how im feeling inside somethin bout somethin bout all girls wanna be like that bad girls underneath like that you know how im feeling inside somethin bout somethin bout mmmm oohooh somethin bout you makes me feel like a dangerous woman somethin bout somethin bout somethin bout you makes me wanna do things that i shouldnt yeah somethin bout somethin bout somethin bout you yeah all girls wanna be like that mmmm bad girls underneath like that you know how im feeling inside you know how im feeling inside baby somethin bout somethin bout you all girls wanna be like that bad girls underneath like that you know how im feeling inside somethin bout somethin bout yeah theres somethin bout you boy ha yeah theres somethin bout you boy haahayy yeah theres somethin bout you boy somethin bout somethin bout somethin bout you yeah theres somethin bout you boy yeah theres somethin bout you boy yeah theres somethin bout you boy oh yeah somethin bout somethin bout somethin bout you,1,1
never give up,sia,1ssmjAYSU5PbmsjLq5yrNH,2016,221,91,-3,Minor,6,11A,61,57,94,0,1,12,5,ive battled demons that wont let me sleep called to the sea but she abandoned me but i wont never give up no never give up no no no i wont never give up no never give up no no and i wont let you get me down ill keep gettin up when i hit the ground oh never give up no never give up no no oh i wont let you get me down ill keep gettin up when i hit the ground oh never give up no never give up no no oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh oh yeah im haunted by the distant past called to the skies but she was overcast but i wont never give up no never give up no no no i wont never give up no never give up no no and i wont let you get me down ill keep gettin up when i hit the ground oh never give up no never give up no no oh i wont let you get me down ill keep gettin up when i hit the ground oh never give up no never give up no no oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh never give up never give up never give up never give up no no oooh and i wont let you get me down ill keep gettin up when i hit the ground oh never give up no never give up no no oh i wont let you get me down ill keep gettin up when i hit the ground oh never give up no never give up no no oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh ill find my way find my way home oh oh oh,0,2
sub,good morning,7gQueO9udZFS3XOwWoVRR4,2019,125,124,-8,Major,2,10B,70,55,86,62,91,35,3,what is the cause of my submission is it in my past is it in my future or is it me who needs a boy without a spine as free as a wireless telephone ill stop my thoughts and beat them out of fruition of fruition of fruition who needs a man without a backbone call his bluff and go on home but hey there man i still cant hurt you and i wouldnt win this fight no i could not win a fight,0,2
beach community,joyce manor,2nSKsLm1kX4qv9UC4oaA6v,2013,100,126,-4,Minor,1,12A,39,31,91,0,0,9,12,i lost it all in a beach community where it was lost is not all that clear to me over the sidewalk into a slow talk call the police told me im in the wrong town wait for your cue cause my scene it aint over i torch up your house while your kids are at home what can you do when youre not getting sober its hard to admit but youre always feeling alone youre always feeling alone youre always feeling alone youre always just a few miles down as the streets count backwards i realize its true everything reminds me of you a few miles down as the streets count backwards i realize its true everything reminds me of you everything reminds me of you everything reminds me,0,4
safe and sound,capital cities,5JVbvCHX10U2pLa5DEqGav,2013,192,118,-5,Major,0,8B,77,66,82,0,0,10,3,i could lift you up i could show you what you wanna see and take you where you wanna be you could be my luck even if the sky is falling down i know that well be safe and sound were safe and sound i could fill your cup you know my river wont evaporate this world we still appreciate you could be my luck even in a hurricane of frowns i know that well be safe and sound safe and sound were safe and sound safe and sound were safe and sound hold your ground were safe and sound safe and sound i could show you love in a tidal wave of mystery youll still be standing next to me you could be my luck even if were six feet underground i know that well be safe and sound were safe and sound safe and sound safe and sound hold your ground safe and sound i could lift you up i could show you what you wanna see and take you where you wanna be you could be my luck even if the sky is falling down i know that well be safe and sound i could lift you up i could show you what you wanna see and take you where you wanna be you could be my luck even if the sky is falling down i know that well be safe and sound were safe and sound were safe and sound were safe and sound were safe and sound safe and sound were safe and sound safe and sound were safe and sound hold your ground were safe and sound safe and sound were safe and sound,1,2
honky tonk hardwood floors - live,cody johnson,5i4gsExZCayI1fFL4LBrmV,2022,188,142,-3,Minor,10,3A,23,50,98,1,0,46,15,every single night under a big ol texas sky parking lot looks like a field growin pickup trucks how ya doing people come from miles around just to get a little unwound i want to drink a little dance a little line them lone stars up them neon lights shinin bright as diamonds boots and hats and pearl snaps wall to wall fiddle singin and cowgirls swingin keep me comin through them doors for long neck bottles and honky tonk hardwood floors yessir soon as i walk in its like i get my second wind i wanna keep that good time feeling rockin all night long yes i do i cant seem to get enough yall its gotta be in my blood cause the louder that crowd gets the more i feel at home well them neon lights shinin bright as diamonds hey boots and hats and pearl snaps wall to wall the fiddle singin and cowgirls swingin keep me comin through them doors for long neck bottles and honky tonk hardwood floors i wanna drink a little i wanna dance a little i wanna line them lone stars up well them neon lights shinin bright as diamonds boots and hats and pearl snaps wall to wall the fiddle singin and cowgirls swingin keep me comin through them doors for them long neck bottles and honky tonk hardwood floors yall i love long neck bottles and honky tonk hardwood floors i hope you brought your agame,0,0
bossa nova corps,origami angel,7o4BIVzqjcUnY8jGPD99sK,2021,172,180,-6,Major,5,7B,66,62,68,6,0,66,11,every time i open up my eyes i see you standing at the precipice of everlasting happiness that lives inside of you things ill never get to touch or hear or feel or see things that just werent made for me i guess it wasnt meant to be but every time you open up your mouth i see verbs adjectives and colors flying out into the world so that theyre there to be observed trying hard to get themselvеs into somebodys brain then theyll nеver be the same it always happens in that way but every time i open up my eyes my eyes my eyes my eyes its almost like you never wanna act like you knew me when i was nobody and nowadays its harder not to feel like someone new i dont see what you see in me like im some sort of deity an elephant in any room im living in a zoo the thought of being locked inside a room behind a barricade is getting comfortable and now i dont know what to do cause i dont think anythings changed its almost like you never wanna act like you knew me when i was nobody and nowadays its harder not to feel like someone new i dont see what you see in me like im some sort of deity an elephant in any room im living in a zoo the thought of being locked inside a room behind a barricade is getting comfortable and now i dont know what to do cause i dont think anythings changed but every time i open up my eyes,0,2
kiss me like it's the first time,eyedress,2n87qFKfPcqRPNfNH4TiAM,2020,176,113,-10,Minor,11,10A,22,64,59,8,86,5,4,trying to be strong instead i act weak dont know any better just dont want you to be mad at me dont bring the past up its got nothing to do with us dont know how to be strong i just want you here dont know what i did wrong tell me whats on your mind just tell me whats on your mind tell me whats on your mind kiss me like its the first time you fell in love kiss me like its the last time youll fall in love i always want your love even when we fight i dont think of giving up its gonna happen sometimes sometimes well fight im not always right,0,4
