,name,artist
826,Blueberry Faygo,Lil Mosey
827,Heartless,The Weeknd
828,Bop,DaBaby
829,Lose You to Love Me,Selena Gomez
830,Good as Hell,Lizzo
831,Toosie Slide,Drake
832,Break My Heart,Dua Lipa
833,Chasin' You,Morgan Wallen
834,Savage Love (Laxed – Siren Beat),Jawsh 685 & Jason Derulo
835,No Guidance,Chris Brown
836,My Oh My,Camila Cabello
837,Dynamite,BTS
838,Go Crazy,Chris Brown & Young Thug
839,High Fashion,Roddy Ricch
840,Laugh Now Cry Later,Drake
841,Woah,Lil Baby
842,Death Bed,Powfu
843,Señorita,Shawn Mendes & Camila Cabello
844,Highest in the Room,Travis Scott
845,Bad Guy,Billie Eilish
846,Mood,24kGoldn
847,Rain on Me,Lady Gaga & Ariana Grande
848,For the Night,Pop Smoke
849,Ritmo (Bad Boys for Life),Black Eyed Peas & J Balvin
850,Heart on Ice,Rod Wave
851,Nobody but You,Blake Shelton & Gwen Stefani
852,Trampoline,Shaed
853,Come & Go,Juice Wrld & Marshmello
854,Truth Hurts,Lizzo
855,If the World Was Ending,JP Saxe
856,We Paid,Lil Baby & 42 Dugg
857,Yummy,Justin Bieber
858,One Man Band,Old Dominion
859,Got What I Got,Jason Aldean
860,Sunday Best,Surfaces
861,Godzilla,Eminem
862,Bandit,Juice Wrld & YoungBoy Never Broke Again
863,Party Girl,StaySolidRocky
864,Die from a Broken Heart,Maddie & Tae
865,Popstar,DJ Khaled
866,All I Want for Christmas Is You,Mariah Carey
867,One of Them Girls,Lee Brice
868,Hard to Forget,Sam Hunt
869,One Margarita,Luke Bryan
870,Panini,Lil Nas X
871,Hot,Young Thug
872,I Hope You're Happy Now,Carly Pearce & Lee Brice
873,Emotionally Scarred,Lil Baby
874,Suicidal,YNW Melly
875,The Bigger Picture,Lil Baby
876,Only Human,Jonas Brothers
877,The Woo,Pop Smoke
878,Sum 2 Prove,Lil Baby
879,Stuck with U,Ariana Grande & Justin Bieber
880,Mood Swings,Pop Smoke
881,You Should Be Sad,Halsey
882,Dior,Pop Smoke
883,Supalonely,Benee
884,Even Though I'm Leaving,Luke Combs
885,The Scotts,Travis Scott & Kid Cudi
886,Juicy,Doja Cat & Tyga
887,Be Like That,Kane Brown & Swae Lee & Khalid
888,Homesick,Kane Brown
889,Rags2Riches,Rod Wave
890,Bluebird,Miranda Lambert
891,Wishing Well,Juice Wrld
892,Does to Me,Luke Combs
893,Pussy Fairy (OTW),Jhené Aiko
894,ILY (I Love You Baby),Surf Mesa
895,More Than My Hometown,Morgan Wallen
896,Lovin' on You,Luke Combs
897,Said Sum,Moneybagg Yo
898,Slide,H.E.R.
899,Walk Em Down,NLE Choppa
900,Levitating,Dua Lipa
901,Save Your Tears,The Weeknd & Ariana Grande
902,Blinding Lights,The Weeknd
903,Mood,24kGoldn
904,Good 4 U,Olivia Rodrigo
905,Kiss Me More,Doja Cat
906,Leave the Door Open,Silk Sonic & Bruno Mars & Anderson .Paak
907,Drivers License,Olivia Rodrigo
908,Montero (Call Me by Your Name),Lil Nas X
909,Peaches,Justin Bieber
910,Butter,BTS
911,Stay,The Kid Laroi & Justin Bieber
912,Deja Vu,Olivia Rodrigo
913,Positions,Ariana Grande
914,Bad Habits,Ed Sheeran
915,Heat Waves,Glass Animals
916,Without You,The Kid Laroi
917,Forever After All,Luke Combs
918,Go Crazy,Chris Brown & Young Thug
919,Astronaut in the Ocean,Masked Wolf
920,34+35,Ariana Grande
921,What You Know Bout Love,Pop Smoke
922,My Ex's Best Friend,Machine Gun Kelly
923,Industry Baby,Lil Nas X & Jack Harlow
924,Therefore I Am,Billie Eilish
925,Up,Cardi B
926,Fancy Like,Walker Hayes
927,Dakiti,Bad Bunny & Jhay Cortez
928,Best Friend,Saweetie
929,Rapstar,Polo G
930,Heartbreak Anniversary,Giveon
931,For the Night,Pop Smoke
932,Calling My Phone,Lil Tjay & 6lack
933,Beautiful Mistakes,Maroon 5
934,Holy,Justin Bieber
935,On Me,Lil Baby
936,You Broke Me First,Tate McRae
937,Traitor,Olivia Rodrigo
938,Back in Blood,Pooh Shiesty
939,I Hope,Gabby Barrett
940,Dynamite,BTS
941,Wockesha,Moneybagg Yo
942,You Right,Doja Cat & the Weeknd
943,Beat Box 2,SpotemGottem & SpotemGottem
944,Laugh Now Cry Later,Drake
945,Need to Know,Doja Cat
946,Wants and Needs,Drake
947,Way 2 Sexy,Drake
948,Telepatía,Kali Uchis
949,Whoopty,CJ
950,Lemonade,Internet Money & Gunna
951,Good Days,SZA
952,Starting Over,Chris Stapleton
953,Body,Megan Thee Stallion
954,Willow,Taylor Swift
955,Bang!,AJR
956,Better Together,Luke Combs
957,You're Mines Still,Yung Bleu
958,Every Chance I Get,DJ Khaled
959,Essence,Wizkid
960,Chasing After You,Ryan Hurd & Maren Morris
961,The Good Ones,Gabby Barrett
962,Leave Before You Love Me,Marshmello & Jonas Brothers
963,Glad You Exist,Dan + Shay
964,Lonely,Justin Bieber & Benny Blanco
965,Beggin',Måneskin
966,Streets,Doja Cat
967,What's Next,Drake
968,Famous Friends,Chris Young & Kane Brown
969,Lil Bit,Nelly & Florida Georgia Line
970,Thot Shit,Megan Thee Stallion
971,Late at Night,Roddy Ricch
972,Kings & Queens,Ava Max
973,Anyone,Justin Bieber
974,Track Star,Mooski
975,Time Today,Moneybagg Yo
976,Cry Baby,Megan Thee Stallion
977,All I Want for Christmas Is You,Mariah Carey
978,No More Parties,Coi Leray
979,What's Your Country Song,Thomas Rhett
980,One Too Many,Keith Urban & Pink
981,Arcade,Duncan Laurence
982,Yonaguni,Bad Bunny
983,Good Time,Niko Moon
984,If I Didn't Love You,Jason Aldean & Carrie Underwood
985,Knife Talk,Drake
986,POV,Ariana Grande
987,Just the Way,Parmalee & Blanco Brown
988,Take My Breath,The Weeknd
989,We're Good,Dua Lipa
990,Hell of a View,Eric Church
991,Rockin' Around the Christmas Tree,Brenda Lee
992,Put Your Records On,Ritt Momney
993,Happier Than Ever,Billie Eilish
994,Single Saturday Night,Cole Swindell
995,Things a Man Oughta Know,Lainey Wilson
996,Throat Baby (Go Baby),BRS Kash
997,Tombstone,Rod Wave
998,Drinkin' Beer. Talkin' God. Amen.,Chase Rice
999,Todo de Ti,Rauw Alejandro
1000,Heat Waves,Glass Animals
1001,As It Was,Harry Styles
1002,Stay,The Kid Laroi & Justin Bieber
1003,Easy on Me,Adele
1004,Shivers,Ed Sheeran
1005,First Class,Jack Harlow
1006,Big Energy,Latto
1007,Ghost,Justin Bieber
1008,Super Gremlin,Kodak Black
1009,Cold Heart (Pnau Remix),Elton John & Dua Lipa
1010,Wait for U,Future
1011,About Damn Time,Lizzo
1012,Bad Habits,Ed Sheeran
1013,Thats What I Want,Lil Nas X
1014,Enemy,Imagine Dragons & JID
1015,Industry Baby,Lil Nas X & Jack Harlow
1016,ABCDEFU,Gayle
1017,Need to Know,Doja Cat
1018,Wasted on You,Morgan Wallen
1019,Me Porto Bonito,Bad Bunny & Chencho Corleone
1020,Woman,Doja Cat
1021,Tití Me Preguntó,Bad Bunny
1022,Running Up That Hill (A Deal with God),Kate Bush
1023,We Don't Talk About Bruno,Carolina Gaitán & Adassa & Rhenzy Feliz & Diane Guerrero & Stephanie Beatriz & Encanto
1024,Late Night Talking,Harry Styles
1025,I Like You (A Happier Song),Post Malone
1026,You Proof,Morgan Wallen
1027,Bad Habit,Steve Lacy
1028,Sunroof,Nicky Youre
1029,One Right Now,Post Malone & the Weeknd
1030,Good 4 U,Olivia Rodrigo
1031,Numb Little Bug,Em Beihold
1032,Jimmy Cooks,Drake
1033,'Til You Can't,Cody Johnson
1034,Fancy Like,Walker Hayes
1035,The Kind of Love We Make,Luke Combs
1036,I Ain't Worried,OneRepublic
1037,Break My Soul,Beyoncé
1038,Something in the Orange,Zach Bryan
1039,Save Your Tears,The Weeknd & Ariana Grande
1040,Smokin out the Window,Silk Sonic & Bruno Mars & Anderson .Paak
1041,Levitating,Dua Lipa
1042,In a Minute,Lil Baby
1043,Moscow Mule,Bad Bunny
1044,You Right,Doja Cat & the Weeknd
1045,She Had Me at Heads Carolina,Cole Swindell
1046,Vegas,Doja Cat
1047,Pushin P,Gunna & Future
1048,Buy Dirt,Jordan Davis & Luke Bryan
1049,I Hate U,SZA
1050,Boyfriend,Dove Cameron
1051,Glimpse of Us,Joji
1052,Surface Pressure,Jessica Darrow
1053,Fall in Love,Bailey Zimmerman
1054,Love Nwantiti (Ah Ah Ah),CKay
1055,Super Freaky Girl,Nicki Minaj
1056,Hrs and Hrs,Muni Long
1057,Sand in My Boots,Morgan Wallen
1058,Mamiii,Becky G & Karol G
1059,Knife Talk,Drake
1060,AA,Walker Hayes
1061,Sweetest Pie,Megan Thee Stallion & Dua Lipa
1062,Provenza,Karol G
1063,Essence,Wizkid
1064,All I Want for Christmas Is You,Mariah Carey
1065,Bam Bam,Camila Cabello
1066,5 Foot 9,Tyler Hubbard
1067,Get Into It (Yuh),Doja Cat
1068,Efecto,Bad Bunny
1069,Rock and a Hard Place,Bailey Zimmerman
1070,Doin' This,Luke Combs
1071,Oh My God,Adele
1072,Better Days,Neiked & Mae Muller & Polo G
1073,Meet Me at Our Spot,The Anxiety & Willow & Tyler Cole
1074,Fingers Crossed,Lauren Spencer-Smith
1075,All Too Well (Taylor's Version),Taylor Swift
1076,Party,Bad Bunny & Rauw Alejandro
1077,Después de la Playa,Bad Bunny
1078,You Should Probably Leave,Chris Stapleton
1079,Rockin' Around the Christmas Tree,Brenda Lee
1080,Broadway Girls,Lil Durk
1081,Take My Name,Parmalee
1082,What Happened to Virgil,Lil Durk
1083,Puffin on Zootiez,Future
1084,Like I Love Country Music,Kane Brown
1085,Jingle Bell Rock,Bobby Helms
1086,Ojitos Lindos,Bad Bunny & Bomba Estéreo
1087,Trouble with a Heartbreak,Jason Aldean
1088,A Holly Jolly Christmas,Burl Ives
1089,Kiss Me More,Doja Cat
1090,She Likes It,Russell Dickerson
1091,Never Say Never,Cole Swindell & Lainey Wilson
1092,Damn Strait,Scotty McCreery
1093,She's All I Wanna Be,Tate McRae
1094,Last Night Lonely,Jon Pardi
1095,Flower Shops,Ernest
1096,To the Moon,Jnr Choi
1097,Unholy,Sam Smith & Kim Petras
1098,One Mississippi,Kane Brown
1099,Circles Around This Town,Maren Morris
1100,Last Night,Morgan Wallen
1101,Flowers,Miley Cyrus
1102,Kill Bill,SZA
1103,Anti-Hero,Taylor Swift
1104,Creepin',Metro Boomin & the Weeknd & 21 Savage
1105,Calm Down,Rema & Selena Gomez
1106,Die for You,The Weeknd & Ariana Grande
1107,Fast Car,Luke Combs
1108,Snooze,SZA
1109,I'm Good (Blue),David Guetta & Bebe Rexha
1110,Unholy,Sam Smith & Kim Petras
1111,You Proof,Morgan Wallen
1112,Something in the Orange,Zach Bryan
1113,Rich Flex,Drake & 21 Savage
1114,As It Was,Harry Styles
1115,Rock and a Hard Place,Bailey Zimmerman
1116,Under the Influence,Chris Brown
1117,Cruel Summer,Taylor Swift
1118,Thinkin' Bout Me,Morgan Wallen
1119,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice
1120,Favorite Song,Toosii
1121,Thought You Should Know,Morgan Wallen
1122,Thank God,Kane Brown & Katelyn Brown
1123,Sure Thing,Miguel
1124,All My Life,Lil Durk
1125,Ella Baila Sola,Eslabon Armado & Peso Pluma
1126,Karma,Taylor Swift
1127,Just Wanna Rock,Lil Uzi Vert
1128,Cuff It,Beyoncé
1129,Vampire,Olivia Rodrigo
1130,FukUMean,Gunna
1131,Lavender Haze,Taylor Swift
1132,Players,Coi Leray
1133,Need a Favor,Jelly Roll
1134,Dance the Night,Dua Lipa
1135,Love You Anyway,Luke Combs
1136,One Thing at a Time,Morgan Wallen
1137,Superhero (Heroes & Villains),Metro Boomin & Future & Chris Brown
1138,Bad Habit,Steve Lacy
1139,La Bebé,Yng Lvcas & Peso Pluma
1140,Golden Hour,Jvke
1141,Religiously,Bailey Zimmerman
1142,Spin Bout U,Drake & 21 Savage
1143,Cupid,Fifty Fifty
1144,Search & Rescue,Drake
1145,Barbie World,Nicki Minaj & Ice Spice & Aqua
1146,Next Thing You Know,Jordan Davis
1147,Escapism,Raye
1148,Un x100to,Grupo Frontera & Bad Bunny
1149,Until I Found You,Stephen Sanchez
1150,Shirt,SZA
1151,Paint the Town Red,Doja Cat
1152,Made You Look,Meghan Trainor
1153,Wait in the Truck,Hardy
1154,All I Want for Christmas Is You,Mariah Carey
1155,Everything I Love,Morgan Wallen
1156,Chemical,Post Malone
1157,Heart Like a Truck,Lainey Wilson
1158,"Going, Going, Gone",Luke Combs
1159,Rockin' Around the Christmas Tree,Brenda Lee
1160,Dancin' in the Country,Tyler Hubbard
1161,Daylight,David Kushner
1162,Lift Me Up,Rihanna
1163,Eyes Closed,Ed Sheeran
1164,TQG,Karol G & Shakira
1165,Try That in a Small Town,Jason Aldean
1166,Tennessee Orange,Megan Moroney
1167,Jingle Bell Rock,Bobby Helms
1168,Princess Diana,Ice Spice & Nicki Minaj
1169,Tomorrow 2,GloRilla & Cardi B
1170,A Holly Jolly Christmas,Burl Ives
1171,Where She Goes,Bad Bunny
1172,Bebe Dame,Fuerza Regida & Grupo Frontera
1173,I Remember Everything,Zach Bryan
1174,I Like You (A Happier Song),Post Malone
1175,What It Is (Block Boy),Doechii
1176,Nobody Gets Me,SZA
1177,Rich Men North of Richmond,Oliver Anthony Music
1178,Super Freaky Girl,Nicki Minaj
1179,Dial Drunk,Noah Kahan & Post Malone
1180,What Was I Made For?,Billie Eilish
1181,Seven,Jungkook
1182,Wait for U,Future
1183,Last Christmas,Wham!
1184,Handle on You,Parker McCollum
1185,Por Las Noches,Peso Pluma
1186,Memory Lane,Old Dominion
1187,Area Codes,Kaliii
1188,Bury Me in Georgia,Kane Brown
1189,PRC,Peso Pluma & Natanael Cano
1190,What My World Spins Around,Jordan Davis
1191,Ain't That Some,Morgan Wallen
1192,Wild as Her,Corey Kent
1193,Peaches & Eggplants,Young Nudy
1194,I Wrote the Book,Morgan Wallen
1195,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
1196,Meltdown,Travis Scott
1197,Put It on da Floor Again,Latto
1198,Bloody Mary,Lady Gaga
1199,Watermelon Moonshine,Lainey Wilson
1200,Lose Control,Teddy Swims
1201,A Bar Song (Tipsy),Shaboozey
1202,Beautiful Things,Benson Boone
1203,I Had Some Help,Post Malone
1204,Lovin on Me,Jack Harlow
1205,Not Like Us,Kendrick Lamar
1206,Espresso,Sabrina Carpenter
1207,Million Dollar Baby,Tommy Richman
1208,I Remember Everything,Zach Bryan
1209,Too Sweet,Hozier
1210,Stick Season,Noah Kahan
1211,Cruel Summer,Taylor Swift
1212,Greedy,Tate McRae
1213,Like That,Future & Metro Boomin & Kendrick Lamar
1214,Birds of a Feather,Billie Eilish
1215,Please Please Please,Sabrina Carpenter
1216,Agora Hills,Doja Cat
1217,"Good Luck, Babe!",Chappell Roan
1218,Saturn,SZA
1219,Snooze,SZA
1220,Paint the Town Red,Doja Cat
1221,Fortnight,Taylor Swift
1222,Fast Car,Luke Combs
1223,Water,Tyla
1224,Feather,Sabrina Carpenter
1225,We Can't Be Friends (Wait for Your Love),Ariana Grande
1226,Austin,Dasha
1227,Last Night,Morgan Wallen
1228,Cowgirls,Morgan Wallen
1229,Pink Skies,Zach Bryan
1230,Thinkin' Bout Me,Morgan Wallen
1231,Texas Hold 'Em,Beyoncé
1232,Is It Over Now?,Taylor Swift
1233,Miles on It,Marshmello & Kane Brown
1234,I Can Do It with a Broken Heart,Taylor Swift
1235,Wild Ones,Jessie Murph & Jelly Roll
1236,Ain't No Love in Oklahoma,Luke Combs
1237,Carnival,¥$ & Kanye West & Ty Dolla Sign
1238,Houdini,Eminem
1239,Wanna Be,GloRilla & Megan Thee Stallion
1240,Slow It Down,Benson Boone
1241,Redrum,21 Savage
1242,Houdini,Dua Lipa
1243,Yeah Glo!,GloRilla
1244,Rich Baby Daddy,Drake
1245,What Was I Made For?,Billie Eilish
1246,End of Beginning,Djo
1247,Lunch,Billie Eilish
1248,Never Lose Me,Flo Milli
1249,Lies Lies Lies,Morgan Wallen
1250,Type Shit,Future & Metro Boomin & Travis Scott & Playboi Carti
1251,Gata Only,FloyyMenor & Cris MJ
1252,Hot to Go!,Chappell Roan
1253,All I Want for Christmas Is You,Mariah Carey
1254,Get It Sexyy,Sexyy Red
1255,Made for Me,Muni Long
1256,Vampire,Olivia Rodrigo
1257,Whatever She Wants,Bryson Tiller
1258,Rockin' Around the Christmas Tree,Brenda Lee
1259,Pretty Little Poison,Warren Zeiders
1260,First Person Shooter,Drake
1261,Die with a Smile,Lady Gaga & Bruno Mars
1262,I Like the Way You Kiss Me,Artemas
1263,Need a Favor,Jelly Roll
1264,Save Me,Jelly Roll
1265,Euphoria,Kendrick Lamar
1266,Truck Bed,Hardy
1267,Jingle Bell Rock,Bobby Helms
1268,Flowers,Miley Cyrus
1269,Where the Wild Things Are,Luke Combs
1270,Everybody,Nicki Minaj
1271,La Diabla,Xavi
1272,Stargazing,Myles Smith
1273,Last Christmas,Wham!
1274,I Am Not Okay,Jelly Roll
1275,Pour Me a Drink,Post Malone
1276,White Horse,Chris Stapleton
1277,Lil Boo Thang,Paul Russell
1278,Good Good,Usher & Summer Walker & 21 Savage
1279,Act II: Date @ 8,4Batz & Drake
1280,High Road,Koe Wetzel
1281,Monaco,Bad Bunny
1282,IDGAF,Drake
1283,Burn It Down,Parker McCollum
1284,FukUMean,Gunna
1285,Taste,Sabrina Carpenter
1286,Where It Ends,Bailey Zimmerman
1287,FTCU,Nicki Minaj
1288,Wildflower,Billie Eilish
1289,World on Fire,Nate Smith
1290,On My Mama,Victoria Monét
1291,"Yes, And?",Ariana Grande
1292,Exes,Tate McRae
1293,A Holly Jolly Christmas,Burl Ives
1294,Wind Up Missin' You,Tucker Wetmore
1295,Bulletproof,Nate Smith
1296,Fe!n,Travis Scott
1297,The Painter,Cody Johnson
1298,Down Bad,Taylor Swift
1299,Dance the Night,Dua Lipa
