,name,artist,lyric
10,Wild Ones,Flo Rida,"Hey, I heard you were a wild one
Ooh, ooh, ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh

Oh, I-I like crazy, foolish, stupid
Party goin' wild, fist pumpin' music
I might lose it, glass to the roof
That's how we do's it, do's it, do's it
I don't care tonight, she don't care we like
Almost there, the right vibe, ready to get live
Ain't no surprise, take me so high
Jump and nose dive, surfin’ the crowd
Ooh, ooh
Said, I gotta be the man, I'm the head of my band
Mic check, one, two
Shut 'em down in the club, what a playboy does
'Til they all get loose, loose off the bottle
We all get bent then again tomorrow
Gotta break rules 'cause that's the motto
Club shut down, a hundred supermodels

Hey, I heard you were a wild one
Ooh, ooh, ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh

P-p-party rocker, fa' sho' stopper
More Chambull, number one club popper
Got a hangover like too much vodka
Can't see me with ten binoculars
So cool, no doubt by the end of the night
Got the clothes comin' off then I make that move
Somehow, some way, gotta raise the roof, roof
All black shades when the sun come through
Uh-oh, it's on like everything goes
Wild out, baby, 'til the freak, it shows
What happens to that body is a private show
Stays right here, pri-private show
I like 'em untamed, I'm talkin' high pain
Tolerance, bottoms up with the champagne
My life, call my homie then we hit Spain
Keep it busy with the bail, we get insane

Hey, I heard you were a wild one
Ooh, ooh, ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh

I am a wild one, break me in (Yeah)
Saddle me up and let's begin (Yeah)
I am a wild one, tame me now (Now)
Running with wolves and I'm on the prowl
Show you another side of me
A side you would never thought you would see
Tear up that body, dominate you 'til you've had enough
I hear you like the wild stuff

Hey, I heard you were a wild one
(Oh) Ooh, ooh, ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club with you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh, ooh

I am a wild one, break me in
Saddle me up and let's begin
I am a wild one, tame me now
Running with wolves and I'm on the prowl"
11,Set Fire to the Rain,Adele,"I let it fall, my heart
And as it fell, you rose to claim it
It was dark, and I was over
Until you kissed my lips and you saved me
My hands, they were strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name

When I lay with you
I could stay there, close my eyes
Feel you here forever
You and me together, nothing is better

'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name
I set fire to the rain
And I threw us into the flames
When we fell, somethin' died
'Cause I knew that that was the last time
The last time

Sometimes, I wake up by the door
That heart you caught must be waitin' for you
Even now, when we're already over
I can't help myself from lookin' for you

I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name
I set fire to the rain
And I threw us into the flames
When we fell, somethin' died
'Cause I knew that that was the last time
The last time

Oh
Oh, no
Let it burn
Oh
Let it burn
Let it burn"
12,Sexy and I Know It,LMFAO,"Yeah, yeah

When I walk on by, girls be looking like, ""Damn, he fly""
I pimp to the beat, walking down the street in my new LaFreak
Yeah, this is how I roll, animal print, pants outta control
It's Redfoo with the big afro
And like Bruce Leroy, I got the glow, yeah

(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) I-I-I work out
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) I-I-I work out
When I walk in the spot (Yeah)
This is what I see (Okay)
Everybody stops and is staring at me
I got passion in my pants and I ain't afraid to show it
Show it, show it, show it

I'm sexy and I know it
I'm sexy and I know it

Yeah
When I'm at the mall, security just can't fight 'em all
And when I'm at the beach, I'm in a speedo trying to tan my cheeks (What)
This is how I roll, come on, ladies, it's time to go
We headed to the bar, baby, don't be nervous
No shoes, no shirt, and I still get service, watch

(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) I-I-I work out
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) Girl, look at that body
I-I-I work out
When I walk in the spot (Yeah)
This is what I see (Okay)
Everybody stops and is staring at me
I got passion in my pants and I ain't afraid to show it
Show it, show it, show it

I'm sexy and I know it (Ay)
I'm sexy and I know it
Check it out, check it out

Wiggle, wiggle, wiggle, wiggle, wiggle, yeah
Wiggle, wiggle, wiggle, wiggle, wiggle, yeah
Wiggle, wiggle, wiggle, wiggle, wiggle, yeah
Wiggle, wiggle, wiggle, wig-, yeah, yeah
Do the wiggle, man
I do the wiggle, man
Yeah, I'm sexy and I know it
Ay, yeah

(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) I-I-I work out
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) Girl, look at that body
(Ah) I-I-I work out

I'm sexy and I know it"
13,Some Nights,Fun,"Some nights, I stay up cashin' in my bad luck
Some nights, I call it a draw
Some nights, I wish that my lips could build a castle
Some nights, I wish they'd just fall off
But I still wake up, I still see your ghost
Oh, Lord, I'm still not sure what I stand for, oh
(Oh-ooh, oh, oh) What do I stand for?
(Oh-ooh, oh, oh) What do I stand for?
Most nights, I don't know anymore

Oh, oh, oh-ooh, oh, oh
Oh-ooh, oh, oh, oh-oh
Oh, oh, oh-ooh, oh, oh
Oh-ooh, oh, oh, oh-oh

This is it, boys, this is war
(Oh, oh, oh-ooh, oh, oh)
What are we waiting for?
(Oh-ooh, oh, oh, oh-oh)
Why don't we break the rules already?
I was never one to believe the hype
(Oh, oh, oh-ooh, oh, oh)
Save that for the black and white
(Oh-ooh, oh, oh, oh-oh)
Try twice as hard, and I'm half as liked
But here they come again to jack my style

And that's alright (That's alright)
I found a martyr in my bed tonight
She stops my bones from wondering
Just who I, who I, who I
Am, oh, who am I? Mm-mm
Mm-mm

Well, some nights, I wish that this all would end
'Cause I could use some friends for a change
And some nights, I'm scared you'll forget me again
Some nights, I always win (I always win)
But I still wake up, I still see your ghost
Oh, Lord, I'm still not sure what I stand for, oh
(Oh-ooh, oh, oh) What do I stand for?
(Oh-ooh, oh, oh) What do I stand for?
Most nights, I don't know

(Oh, come on) So this is it?
I sold my soul for this?
Washed my hands of that for this?
I miss my mom and dad for this?
(Oh, come on) No, when I see stars, when I see
When I see stars, that's all they are
When I hear songs, they sound like a swan
So come on, oh, come on
Oh, come on, oh, come on

Well, that is it, guys, that is all
(Oh, oh, oh-ooh, oh, oh)
Five minutes in, and I'm bored again
(Oh-ooh, oh, oh, oh-oh)
Ten years of this, I'm not sure if anybody understands
This one is not for the folks at home
(Oh, oh, oh-ooh, oh, oh)
Sorry to leave, Mom, I had to go
(Oh-ooh, oh, oh, oh-oh)
Who the fuck wants to die alone
All dried up in the desert sun?

My heart is breakin' for my sister
And the con that she called ""love""
And then I look into my nephew's eyes
Man, you wouldn't believe
The most amazing things
That can come from
Some terrible nights

Ah-ah-ah-ah-ah-ah, Ah-ah-ah-ah-ah
Ah-ah-ah-ah-ah-ah, Ah-ah-ah-ah-ah (Alright, come on)

Oh, oh, oh-ooh, oh, oh
Oh-ooh, oh, oh, oh-oh
Oh, oh, oh-ooh, oh, oh
Oh-ooh, oh, oh, oh-oh

The other night, you wouldn't believe
The dream I just had about you and me
I'd called you up, but we both agreed
It's for the best you didn't listen, no
It's for the best we get our distance, oh-oh-oh
For the best, you didn't listen
It's for the best we get our distance, oh-oh-oh-oh"
14,Wide Awake,Katy Perry,"I'm wide awake
I'm wide awake

(I'm wide awake)
Yeah, I was in the dark
I was falling hard with an open heart
(I'm wide awake)
How did I read the stars so wrong?
(I'm wide awake)
And now it's clear to me
That everything you see ain't always what it seems
(I'm wide awake)
Yeah, I was dreaming for so long

I wish I knew then what I know now
Wouldn't dive in, wouldn't bow down
Gravity hurts, you made it so sweet
'Til I woke up on, on the concrete

Fallin' from cloud nine
Crashin' from the high
I'm letting go tonight
Yeah, I'm fallin' from cloud nine

(I'm wide awake)
Not losing any sleep
I picked up every piece and landed on my feet
(I'm wide awake)
Need nothing to complete myself, no
(I'm wide awake)
Yeah, I am born again
Out of the lion's den, I don't have to pretend
(And it's too late)
The story's over now, the end

I wish I knew then what I know now
Wouldn't dive in, wouldn't bow down
Gravity hurts, you made it so sweet
'Til I woke up on, on the concrete

Fallin' from cloud nine (It was outta the blue, I'm)
Crashin' from the high
I'm letting go tonight (Yeah, I'm letting you go, I'm)
I'm fallin' from cloud nine

(I'm wide awake)
Thunder rumbling
Castles crumbling (I'm wide awake)
I am tryin' to hold on
(I'm wide awake)
God knows that I tried
Seeing the bright side (I'm wide awake)
But I'm not blind anymore

I'm wide awake
I'm wide awake

Yeah, I'm fallin' from cloud nine (It was outta the blue, I'm)
Crashin' from the high
You know I'm letting go tonight (Yeah, I'm letting you go, I'm)
I'm fallin' from cloud nine

I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake"
15,Good Feeling,Flo Rida,"76 ContributorsTranslationsPortuguêsGood Feeling LyricsWild Ones‘ first single was inspired by Avicii’s “Levels” which features the same backing and samples the same Etta James sample from her song “Something’s Got a Hold on Me.”
Oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah
Oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah

Yes I can, doubt better leave, I'm runnin' with this plan
Pull me, grab me, crabs in the bucket can't have me
I'll be the president one day
January first, oh, you like that gossip?
Like you the one drinking what God sip—dot com
Now I got a word for your tongue
How many rolling stones you want?
Yeah, I got a brand new spirit (Oh) speaking it and it's done
Woke up on the side of the bed like I won (Oh)
Talk like a winner, my chest to that sun
G5 dealer, U.S. to Taiwan (Oh)
Now who can say that? I wanna play back
Mama knew I was a needle in a hay stack (Oh)
A Bugatti boy, plus Maybach
I got a feeling it's a rap, ASAP
Oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah
Oh, oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah

The mountain top, walk on water
I got power, feel so royal
One second, I'ma strike all you
Diamond, platinum, no more for you
Got adrenaline, never giving in
Giving up's not an option, gotta get it in
Witness, I got the heart of twenty men
No fear, go to sleep in the lion's den (Oh)
That flow, that spark, that crown
You looking at the king of the jungle now (Oh)
Stronger than ever, can't hold me down
A hundred miles gunning from the pitcher's mound (Oh)
Straight game face, it's game day
See me running through the crowd full of melee (Oh)
No trick plays, I'm Bill Gates, take a genius to understand me
Oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah
Oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah


Let's get it, let's get it
I know you got the good feelin'
Let's get it, let's get it
Gotta love the life that we livin'
Let's get it, let's get it
I know you got the good feelin'
Let's get it, let's get it
Gotta love the life that we livin'

Oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah
Oh, sometimes I get a good feeling, yeah
I get a feeling that I never, never, never, never had before, no, no
I get a good feeling, yeah
(Oh)
(Oh)
(Oh)
(Oh) Sometimes I get a good feeling"
16,Whistle,Flo Rida,"82 ContributorsTranslationsDeutschWhistle Lyrics
Can you blow my whistle, baby, whistle, baby? Let me know
Girl, I'm gonna show you how to do it and we start real slow
You just put your lips together and you come real close
Can you blow my whistle, baby, whistle, baby? Here we go

Look
I'm bettin' you like people
And I'm bettin' you love freak mode
And I'm bettin' you like girls
That give love to girls and stroke your little ego
I bet you I'm guilty, your honor (Honor)
That's just how we live in my genre (Genre)
Who in the hell done paved the road wider? (Hey)
There's only one Flo and one Rida (Woo)
I'm a damn shame, order more champagne
Pull a damn hamstring tryna put it on ya
Let your lips spin back around calmer
Slow it down, baby, take a little longer

Can you blow my whistle, baby, whistle, baby? Let me know
Girl, I'm gonna show you how to do it and we start real slow
You just put your lips together and you come real close
Can you blow my whistle, baby, whistle, baby? Here we go

Whistle, baby, whistle, baby
Whi-whistle, baby, whistle, baby
Whistle, baby, whistle, baby
Whi-whistle, baby, whistle, baby

It's like everywhere I go, my whistle ready to blow
Shawty don't even know, she can get in it for the low
Told me she not a pro, it's okay, it's under control
Show me soprano 'cause, girl, you can handle
Baby, we start slow, then you come up and park close
Girl, I'm the whistle man, my Bugatti the same notes
Show me your perfect pitch, you got it, my banjo
Talented with your lips like you blew out a candle
So amusing ('Musing)
Now you can make a whistle with the music (Music)
Hope you ain't got no issues, you can do it (Do it)
Even if it's no picture, never lose it (Lose it)

Can you blow my whistle, baby, whistle, baby? Let me know
Girl, I'm gonna show you how to do it and we start real slow
You just put your lips together and you come real close
Can you blow my whistle, baby, whistle, baby? Here we go

Whistle, baby, whistle, baby
Whi-whistle, baby, whistle, baby
Whistle, baby, whistle, baby
Whi-whistle, baby, whistle, baby

Go on, girl, you can twerk it
Let me see you whistle while you work it
I'ma lay it back, don't stop it
'Cause I love it how you drop it, drop it, drop it on me
Now, shorty, make that whistle blow-ow-ow-ow (Hey, hey, hey, hey)
Yeah, baby, make that whistle blow-ow-ow (Hey, hey, hey, hey)

Can you blow my whistle, baby, whistle, baby? Let me know
Girl, I'm gonna show you how to do it and we start real slow
You just put your lips together and you come real close
Can you blow my whistle, baby, whistle, baby? Here we go

Can you blow my whistle, baby? (Whistle, baby, whistle, baby)
Can you blow my whistle, baby? (Whi-whistle, baby, whistle, baby)
Can you blow my whistle, baby? (Whistle, baby, whistle, baby)
Can you blow my whistle, baby? (Whi-whistle, baby, whistle, baby)"
17,One More Night,Maroon 5,"79 ContributorsTranslationsPortuguêsEspañolOne More Night Lyrics“One More Night” is a song performed by American band Maroon 5. The song was released as the second single from their fourth studio album, Overexposed.
Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh
Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh

You and I go hard at each other like we're going to war
You and I go rough, we keep throwing things and slamming the doors
You and I get so damn dysfunctional, we stopped keeping score
You and I get sick, yeah, I know that we can't do this no more

Yeah but baby, there you go again, there you go again
Making me love you
Yeah, I stopped using my head, using my head
Let it all go
Got you stuck on my body, on my body like a tattoo
And now I'm feeling stupid, feeling stupid crawling back to you

So I cross my heart, and I hope to die
That I'll only stay with you one more night
And I know I've said it a million times
But I'll only stay with you one more night

Try to tell you ""no,"" but my body keeps on telling you ""yes""
Try to tell you ""stop,"" but your lipstick got me so out of breath
I'll be waking up in the morning, probably hating myself
And I'll be waking up, feeling satisfied, but guilty as hell

Yeah but baby, there you go again, there you go again
Making me love you (Making me love you)
Yeah, I stopped using my head, using my head
Let it all go (Let it all go)
Got you stuck on my body, on my body like a tattoo (Like a tattoo, yeah)
And now I'm feeling stupid, feeling stupid crawling back to you

So I cross my heart, and I hope to die (Yeah)
That I'll only stay with you one more night (Oh)
And I know I've said it a million times (Yeah)
But I'll only stay with you one more night (Yeah)

(Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)
Yeah, baby, give me one more night
(Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)
Yeah, baby, give me one more night (Woah, yeah)
(Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)
Yeah, baby, give me one more night
(Ooh, ooh-ooh-ooh, ooh-ooh, ooh-ooh)
Oh yeah yeah

But baby, there you go again, there you go again
Making me love you
Yeah, I stopped using my head, using my head
Let it all go
Got you stuck on my body, on my body like a tattoo, yeah, yeah
Yeah, yeah

So I cross my heart, and I hope to die (Oh-oh-oh-oh, oh-oh-oh-oh)
That I'll only stay with you one more night (Oh-oh-oh-oh-oh-oh)
And I know I've said it a million times
(Oh, I've said it a million times)
But I'll only stay with you one more night
(Yeah, baby, give me one more night)
So I cross my heart and I hope to die (Yeah, yeah)
That I'll only stay with you one more night (Yeah, yeah)
And I know I've said it a million times (Yeah, yeah)
But I'll only stay with you one more night (Yeah, yeah)

I dunno
Whatever, whatever"
18,Drive By,Train,"57 ContributorsDrive By LyricsThe lead single from Train’s latest album, California 37, here, Pat Monahan, the lead singer of Train, tries to make his lover believe in his claim that their relationship, was not just a one night stand.
On the other side of a street I knew
Stood a girl that looked like you
I guess that's déjà vu
But I thought this can't be true
'Cause you moved to west L.A. or New York or Santa Fe
Or wherever to get away from me

Oh, but that one night
Was more than just right
I didn't leave you 'cause I was all through
Oh, I was overwhelmed, and frankly, scared as hell
Because I really fell for you

Oh, I swear to you
I'll be there for you
This is not a drive by
Just a shy guy looking for a two-ply
Hefty bag to hold my love
When you move me, everything is groovy
They don't like it, sue me
Mmm, the way you do me
Oh, I swear to you
I'll be there for you
This is not a drive by

On the upside of a downward spiral
My love for you went viral
And I loved you every mile you drove away
But now, here you are again
So, let's skip the ""How you been?""
And get down to the ""more than friends"" at last

Oh, but that one night
Is still the highlight
I didn't need you until I came to
And I was overwhelmed, and frankly, scared as hell
Because I really fell for you

Oh, I swear to you
I'll be there for you
This is not a drive by
Just a shy guy looking for a two-ply
Hefty bag to hold my love
When you move me, everything is groovy
They don't like it, sue me
Mmm, the way you do me
Oh, I swear to you
I'll be there for you
This is not a drive by

Please believe
That when I leave
There's nothing up my sleeve but love for you
And a little time to get my head together too

On the other side of a street I knew
Stood a girl that looked like you
I guess that's déjà vu
But I thought this can't be true
'Cause...

Oh, I swear to you
I'll be there for you
This is not a drive by
Just a shy guy looking for a two-ply
Hefty bag to hold my love
When you move me, everything is groovy
They don't like it, sue me
Mmm, the way you do me
Oh, I swear to you
I'll be there for you
This is not a drive by"
19,The Motto,Drake,"262 ContributorsThe Motto LyricsOn this bonus track from Take Care, Drake enlists his Young Money mentor Lil Wayne for an ode to his motto in life: YOLO.
I'm the fuckin' man, y'all don't get it, do ya?
Type of money, everybody acting like they knew ya
Go Uptown, New York City, bitch
Them Spanish girls love me like I'm Aventura
Tell Uncle Luke I'm out in Miami too
Clubbin' hard, fuckin' women, there ain't much to do
Wrist bling, got a condo up on Biscayne
Still gettin' brain from a thang, ain't shit changed
How you feel, how you feel, how you feel?
Twenty-five, sitting on twenty-five mil', uh
I'm in the building and I'm feeling myself
Rest in peace Mac Dre, I'ma do it for the Bay, okay
Gettin' paid, we'll holler whenever that stop
My team good, we don't really need a mascot
Tell Tune light one, pass it like a relay
YMCMB, you niggas more YMCA
Me, Franny, and Mally Mall at the crib-o
Shout goes out to Niko, J, and Chubbs, shout to Gibbo
We got Santa Margherita by the liter
She know even if I'm fucking with her, I don't really need her
Aww, that's how you feel, man? That's really how you feel?
'Cause the pimpin' ice cold, all these bitches wanna chill
I mean maybe she won't, then again, maybe she will
I can almost guarantee she know the deal, real nigga, what's up?

Now she want a photo, you already know, though
You only live once, that's the motto, nigga, YOLO
And we 'bout it every day, every day, every day
Like we sittin' on the bench, nigga, we don't really play
Every day, every day, fuck what anybody say
Can't see 'em 'cause the money in the way, real nigga, what's up?

One time, fuck one time
I'm callin' niggas out like the umpire
Seven grams in the blunt
Almost drowned in her pussy, so I swam to her butt
It's Eastside, we in this bitch
Wish a nigga would like a tree in this bitch
And if a leaf fall, put some weed in that bitch
That's my MO, add a B to that shit
I'm fucked up, tore down
I'm twisted, doorknob
Talk stupid, off with your head
Nigga, money talks, and Mr. Ed, yeah
I'm so Young Money
Got a drum on the gun, Energizer Bunny
Funny how honey ain't sweet like sugar
Ain't shit sweet, niggas on the street like hookers
I tongue-kiss her other tongue
Skeet, skeet, skeet, water gun
Oh my God, Becky, look at her butt, Tunechi

Now she want a photo, you already know, though (Yeah)
You only live once, that's the motto, nigga, YOLO
And we 'bout it every day, every day, every day
Like we sittin' on the bench, nigga, we don't really play
Every day, every day, fuck what anybody say
Can't see 'em 'cause the money in the way, real nigga, what's up?
Real nigga, what's up?
Now she want a photo, you already know, though
You only live once, that's the motto, nigga, YOLO
And we 'bout it every day, every day, every day
Like we sittin' on the bench, nigga, we don't really play
Every day, every day, fuck what anybody say
Can't see 'em 'cause the money in the way, real nigga, what's up?"
20,Where Have You Been,Rihanna,"I've been everywhere, man, looking for someone
Someone who can please me, love me all night long
I've been everywhere, man, looking for you, babe
Looking for you, babe, searching for you, babe

Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd
Yeah, yeah, yeah, yeah, yeah
Yeah-yeah-yeah-yeah-yeah (Oh-ooh)
Yeah, yeah, yeah, yeah, yeah
Yeah-yeah-yeah-yeah-yeah

Where have you been?
All my life
All my life, life, life, life
Where have you been all my li-i-i-i-i-ife?
Where have you been all my li-i-i-i-i-ife?
Where have you been all my li-i-i-i-i-ife?
Where have you been all my life?


I've been everywhere, man, looking for someone
Someone who can please me, love me all night long
I've been everywhere, man, looking for you, babe
Looking for you, babe, searching for you, baby

Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd
Yeah, yeah, yeah, yeah, yeah
Yeah-yeah-yeah-yeah-yeah (Oh-ooh)
Yeah, yeah, yeah, yeah, yeah
Yeah-yeah-yeah-yeah-yeah

Where have you been?
All my life
All my life, life, life, life
Where have you been all my li-i-i-i-i-ife?
Where have you been all my li-i-i-i-i-ife?
Where have you been all my li-i-i-i-i-ife?
Where have you been all my li-i-i-i-i-ife?

(Li-i-i-i-ife)
(Where have you been all my li-i-i-i-ife?)
(Y-you)
(Y-you)
(Y-you)
(You)

You can have me all you want
Any way, any day
Just show me where you are tonight
Yeah, yeah, yeah, yeah, yeah (Oh-ooh)
Yeah-yeah-yeah-yeah-yeah (Yeah, yeah, yeah)
Yeah, yeah, yeah, yeah, yeah (Oh-oh)
Yeah-yeah-yeah-yeah-yeah

I've been everywhere, man, looking for someone
Someone who can please me, love me all night long
I've been everywhere, man, looking for you, babe
Looking for you, babe, searching for you, babe"
