name_lower,artist_lower,spt_id,release_year,length (total sec),tempo,loudness,scale,key (num),camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb
a way to say goodbye - acoustic,seven lions,3Klyjz0u1mHmE8n1x0PA6N,2015,189,128,-7,Major,3,5B,16,52,73,1,0,22,4,"teardrops are racing our stopwatch
our hope is in a headlock
tomorrow always comes too soon
and it kills to say i knew youd let me down
as i fumble for the words to say so long for now
well every love song will be sung about you oh woah
and every july will go cold without you oh woah
and ill hold on to every piece of you
that i made up in my mind
until i find a way to say goodbye
goodbye
goodbye
goodbye
a way to say goodbye
goodbye
goodbye
goodbye
a way to say goodbye
well every love song will be sung about you about you oh woah
and every july will go cold without you without you oh woah
and ill hold on to every piece of you
that i madе up in my mind
until i find a way to say goodbye
a way to say goodbye
goodbye
goodbyе
goodbye
a way to say goodbye
goodbye
goodbye goodbye
goodbye goodbye yeah
a way to say goodbye",0
i can do it with a broken heart,taylor swift,4q5YezDOIPcoLr8R81x9qy,2024,218,130,-8,Major,0,8B,22,70,75,12,0,15,5,"i can read your mind
shes having the time of her life
there in her glittering prime
the lights refract sequin stars off her silhouette every night
i can show you lies
one two three four
cause im a real tough kid
i can handle my shit
they said babe you gotta fake it til you make it and i did
lights camera bitch smile
even when you wanna die
he said hed love me all his life
but that life was too short
breaking down i hit the floor
all the piеces of me shatterеd as the crowd was chanting more
i was grinnin like im winnin
i was hittin my marks
cause i can do it with a broken heart
one two three four
im so depressed i act like its my birthday every day
im so obsessed with him but he avoids me like the plague
i cry a lot but i am so productive its an art
you know youre good when you can even do it with a broken heart
i can hold my breath
ive been doin it since he left
i keep finding his things in drawers
crucial evidence i didnt imagine the whole thing
im sure i can pass this test
one two three four
cause im a real tough kid
i can handle my shit
they said babe you gotta fake it til you make it and i did
lights camera bitch smile
in stilettos for miles
he said hed love me for all time
but that time was quite short
breaking down i hit the floor
all the pieces of me shattered as the crowd was chanting more
i was grinnin like im winnin
i was hittin my marks
cause i can do it with a broken heart
one two three four
im so depressed i act like its my birthday every day
im so obsessed with him but he avoids me he avoids me like the plague
i cry a lot but i am so productive its an art
you know youre good when you can even do it with a broken heart
you know youre good when you can even do it with a broken heart
you know youre good
and im good
cause im miserable haha
and nobody even knows
ah try and come for my job",1
all i want for christmas is you,albin lee meldau,3nt1wAgqCjVEXZyT7fKCCw,2017,197,177,-6,Major,7,9B,20,30,58,24,0,24,4,"iii dont want a lot for christmas
there is just one thing i need
i dont care about the presents
underneath the christmas tree
i just want you for my own
more than you could ever know
make my wish come true
all i want for christmas is you yeah
i dont want a lot for christmas
there is just one thing i need and i
dont care about the presents
underneath the christmas tree
i dont need to hang my stocking
there upon the fireplace
santa claus wont make me happy
with a toy on christmas day
i just want you for my own
more than you could ever know
make my wish come true
all i want for christmas is you
you baby
oh i wont ask for much this christmas
i wont even wish for snow and i
im just going to keep on waiting
underneath the mistletoe
i wont make a list and send it
to the north pole for saint nick
i wont even stay awake to
hear those magic reindeer click
cause i just want you here tonight
holding on to me so tight
what more can i do
baby all i want for christmas is you
you baby
oh all the lights are shining
so brightly everywhere
and the sound of childrens
laughter fills the air
and everyone is singing
i hear those sleigh bells ringing
santa wont you bring me the one i really need
wont you please bring my baby to me
oh i dont want a lot for christmas
this is all im asking for
i just want to see my baby
standing right outside my door
oh i just want you for my own
more than you could ever know
make my wish come true
baby all i want for christmas is
you
you baby
you
all all all all
you",0
fingers crossed,elijah woods,7jb91qnNv2R1XdrICW4A0y,2022,163,110,-7,Major,5,7B,20,66,48,28,0,15,5,"i think it was the fourth of that july
i remember looking in each others eyes
watching as the spark was fading
but neither one could say it
ironically we laughed until we cried
the sun came up and then it got so quiet
i knew the end was getting closer
i thought we would grow old yeah
but you
will always have my heart its nothing new
whenever im alone i try to look through our old photographs
remember when we used to laugh
but i dont recognize us anymore
my momma told me
if you love someone youve got to set them free
but i guess that youre not coming back
i thought that we could beat the odds
and try to fix all of our flaws
but when you said you loved me
oh you must have had your fingers crossed
the time goes by the scars no longer show
but underneath it all theres still this hole
filled up with my second guesses
but i guess ive learned a lesson
that people in your life will come and go
but from the ashes something beautiful will grow
cause im happier than ever lately
im thankful for all you gave me
oh you
will always have my heart its nothing new
whenever im alone i try to look through our old photographs
remember when we used to laugh
but i dont recognize us anymore
my momma told me
if you love someone youve got to set them free
but i guess that youre not coming back
i thought that we could beat the odds
and try to fix all of our flaws
but when you said you loved me
oh you must have had your fingers crossed
ah ou ah ou ah ou
must have had your
ah ou ou ah
when you said you loved me
must have had your fingers crossed",0
feel this moment,pitbull,0Hf4aIJpsN4Os2f0y0VqWl,2012,229,136,-4,Major,7,9B,54,67,76,4,0,34,16,"ask for money and get advice huh
ask for advice get money twice huh
im from the dirty huh but that chico nice ha
yall call it a moment i call it a life
one day while my light is glowin
ill be in my castle golden
but until the gates are open
i just wanna feel this moment
woahwoah
i just wanna feel this moment
woahwoah
i just wanna feel this moment
mr worldwide cmon
christina aguilera
oye mamita cmon
dale que la cosa está rica haha haha i just wanna feel this moment
woo
feel this moment
reporting live from the tallest building in tokyo
long ways from them hard ways filled with zoes and oyes
dade county always 305 all day
and now baby we can parlay or baby we can party heh
she read books hahaha especially about red rooms and tieups yeah
i got her hooked huh
cause she seen me in a suit with the red tie tied up
meet and greet nice to meet ya
but time is money only difference is i own it
now lets stop time and enjoy this moment dale woo
one day while my light is glowin
ill be in my castle golden
but until the gates are open
i just wanna feel this moment
woahwoah cmon
i just wanna feel this moment
woahwoah ha yeah
i just wanna feel this moment
woo
come on feel this moment
i see the future but live for the moment
make sense dont it ha
now make dollars i mean billions yeah
im a genius i mean brilliant brilliant
the streets is what schooled him schooled him
and made him slicker than slick rick the ruler yeah
ive lost a lot and learned a lot
but im still undefeated like shula
im far from cheap ahhaha
i break down companies with all my peeps thats right
baby we can travel the world
and i can give you and all you can see
time is money only difference is i own it
like a stopwatch lets stop time
and enjoy this moment dale woo
one day while my light is glowin
ill be in my castle golden
but until the gates are open
i just wanna feel this moment
woahwoah cmon
i just wanna feel this moment
oh woahwoah ha yeah
i just wanna feel this moment
woo cmon yeah ccome on
feel this moment
woahwoah
i just wanna feel this moment
woahwoah
i just wanna feel this moment",1
7 years,lukas graham,5kqIPrATaCc2LqxVWzQGbk,2016,237,120,-6,Major,10,6B,34,77,47,29,0,39,5,"once i was seven years old my mama told me
go make yourself some friends or youll be lonely
once i was seven years old
it was a big big world but we thought we were bigger
pushing each other to the limits we were learnin quicker
by eleven smokin herb and drinkin burnin liquor
never rich so we were out to make that steady figure
once i was eleven years old my daddy told me
go get yourself a wife or youll be lonely
once i was eleven years old
i always had that dream like my daddy before me
so i started writin songs i started writin stories
something about that glory just always seemed to bore me
cause only those i really love will ever really know me
once i was twenty years old my story got told
before the mornin sun when life was lonely
once i was twenty years old lukas graham
i only see my goals i dont believe in failure
cause i know the smallest voices they can make it major
i got my boys with me at least those in favor
and if we dont meet before i leave i hope ill see you later
once i was twenty years old my story got told
i was writin bout everything i saw before me
once i was twenty years old
soon well be thirty years old our songs have been sold
weve traveled around the world and were still roamin
soon well be thirty years old
im still learnin about life my woman brought children for me
so i can sing them all my songs and i can tell them stories
most of my boys are with me some are still out seekin glory
and some i had to leave behind my brother im still sorry
soon ill be sixty years old my daddy got sixtyone
remember life and then your life becomes a better one
i made a man so happy when i wrote a letter once
i hope my children come and visit once or twice a month
soon ill be sixty years old will i think the world is cold
or will i have a lot of children who can warm me
soon ill be sixty years old
soon ill be sixty years old will i think the world is cold
or will i have a lot of children who can warm me
soon ill be sixty years old
once i was seven years old my mama told me
go make yourself some friends or youll be lonely
once i was seven years old
once i was seven years old",1
draw near,bethel music,5WaItWNLLLJ2P2AZyrsg9v,2012,212,140,-11,Major,8,4B,19,42,29,73,0,11,3,"and draw near to me
for i have drawn near to you
and pull on the strings of my heart
for i long to respond to you
all my love is for you
and all my love is yours
and all my love is for you
and all my love is yours
draw near to me
for i have drawn near to you
and pull on the strings of my heart
for i long to respond to you
all my love is for you
and all my love is yours
and all my love is for you
and all my love is yours
i have made a place for you here
so come on come on
all things are possible here
so come on come on
i have made a place for you here
so come on come on
all things are possible here
so come on come on come on
draw near to me
for i have drawn near to you
and pull on the strings of my heart
for i long to respond to you",0
fake love,drake,343YBumqHu19cGoGARUTsd,2017,210,134,-9,Minor,9,8A,61,93,48,11,0,18,29,"yeah yeah
ive been down so long it look like up to me
they look up to me
i got fake people showin fake love to me
straight up to my face straight up to my face
ive been down so long it look like up to me
they look up to me
i got fake people showin fake love to me
straight up to my face straight up to my face
somethin aint right when we talkin
somethin aint right when we talkin
look like you hidin your problems
really you never were solid
no you cant son me
you wont never get to run me
just when shit look out of reach
i reach back like one three
like one three yeah
thats when they smile in my face
whole time they wanna take my place
whole time they wanna take my place
whole time they wanna take my place
yeah i know they wanna take my place
i can tell that love is fake
i dont trust a word you say
how you wanna clique up after your mistakes
look you in the face and its just not the same
ive been down so long it look like up to me
they look up to me
i got fake people showin fake love to me
straight up to my face straight up to my face
ive been down so long it look like up to me
they look up to me
i got fake people showin fake love to me
straight up to my face straight up to my face
yeah straight up to my face tryna play it safe
vibe switch like night and day
i can see it like right away
i came up you changed up
i caught that whole play
since things never been the same
thats when they smile in my face
whole time they wanna take my place
whole time they wanna take my place
whole time they wanna take my place
yeah i know they wanna take my place
i can tell that love is fake i can tell that love is fake
i dont trust a word you say i dont trust a word
how you wanna clique up after your mistakes
thats just what i heard
look you in the face and its just not the same
ive been down so long it look like up to me
they look up to me
i got fake people showin fake love to me
straight up to my face straight up to my face
ive been down so long it look like up to me
they look up to me
i got fake people showin fake love to me
straight up to my face straight up to my face
skrrt
and more chune for your headtop
so watch how you speak on my name you know",1
right back,khalid,5A1w94uzc1kO1Zhe8WWxC3,2019,215,97,-10,Minor,5,4A,60,79,43,7,0,17,31,"power
got me sittin by my phone ive been waiting for hours
on my line sending mirror pics of you fresh out the shower
so i might as well swing over to your place mmm nah
its crowded
in la but ill be there at 8 if the traffic allows it
say youre down i could show you around
if youre really about it yeah
but for you i got something to prove what do you say
what do you say
should we bring it right back
honestly its better like that
i know weve been falling off track
bring it right back
i just let the time roll past
we dont gotta take it too fast
bring it right back
you dont gotta stay the night
i just wanna take the time
i know all the things you like
maybe if the mood is right
we can bring it right back
saved
got the weed we can sit by the beach if we wanna get faded
but if thats not the vibe yeah its cool
we can save it for later yeah
i just like the way it feels when youre around
when youre around ah
now i know were not dating nah
maybe soon by the way things go weve been talking for ages
take it step by step slow it down we just need to be patient love
if the love feels good and its real itll all work out
itll all work out yeah
should we bring it right back
honestly its better like that
i know weve been falling off track
bring it right back
i just let the time roll past
we dont gotta take it too fast
bring it right back
you dont gotta stay the night
i just wanna take the time
i know all the things you like
maybe if the mood is right
we can bring it right back
so bring it so bring it
so bring it so bring it
so bring it so bring it so bring it back
so bring it so bring it back so bring it yeah
so bring it so bring it yeah
so bring it so bring it nah
so bring it so bring it bring it bring it
so bring it so bring it back
so bring it so bring it yeah
so bring it so bring it
so bring it so bring it
so bring it so bring it back no no no oh yeah
should we bring it right back
honestly its better like that
i know weve been falling off track
bring it right back
i just let the time roll past
we dont gotta take it too fast
bring it right back
you dont gotta stay the night
i just wanna take the time
i know all the things you like
maybe if the mood is right
we can bring it right back
honestly its better like that
i know weve been falling off track
bring it right back
i just let the time roll past
we dont gotta take it too fast
bring it right back
you dont gotta stay the night
i just wanna take the time
i know all the things you like
maybe if the mood is right
we can bring it right",0
get lucky,daft punk,2Foc5Q5nqNiosCNqttzHof,2013,248,116,-9,Minor,6,11A,86,79,81,4,0,10,4,"like the legend of the phoenix huh
all ends with beginnings
what keeps the planet spinnin ahah
the force from the beginnin
huh look
weve come too far
to give up who we are
so lets raise the bar
and our cups to the stars
shes up all night to the sun
im up all night to get some
shes up all night for good fun
im up all night to get lucky
were up all night to the sun
were up all night to get some
were up all night for good fun
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
the present has no ribbon
your gift keeps on giving
what is this im feelin
if you wanna leave im with it ahah
weve come too far
to give up who we are
so lets raise the bar
and our cups to the stars
shes up all night to the sun
im up all night to get some
shes up all night for good fun
im up all night to get lucky
were up all night to the sun
were up all night to get some
were up all night for good fun
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
shes up all night to the sun
im up all night to get some
shes up all night for good fun
im up all night to get lucky
were up all night to the sun
were up all night to get some
were up all night for good fun
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
shes up all night to the sun
im up all night to get some
shes up all night for good fun
im up all night to get lucky
were up all night to the sun
were up all night to get some
were up all night for good fun
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get
were up all night to get
were up all night to get
were up all night to get
were up all night to get
were up all night to get
were up all night to get
were up all night to get
were up all night to get back together
were up all night to get lets get funked again
were up all night to get funky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
weve come too far
to give up who we are
so lets raise the bar
and our cups to the stars
shes up all night to the sun
im up all night to get some
shes up all night for good fun
im up all night to get lucky
were up all night to the sun
were up all night to get some
were up all night for good fun
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky
were up all night to get lucky",1
